head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0431122,Atypical meningioma,associated_morphology_of,['C5438535'],['Atypical meningioma of cerebral meninges'],Atypical meningioma of cerebral meninges,C5438535,1,1,0.0,0.5714285673469389
C1627767,Follicular mycosis fungoides,associated_morphology_of,"['C1627767', 'C1627767']","['Follicular mucinosis type mycosis fungoides', 'Follicular mucinosis type mycosis fungoides']",Follicular mucinosis type mycosis fungoides,C1627767,1,1,0.0,0.7499999953125
C0333979,Secondary hyperplasia,associated_morphology_of,"['C0267824', 'C0267824', 'C1264178', 'C5437915', 'C5437915']","['Compensatory lobar hyperplasia of liver', 'Compensatory lobar hyperplasia of liver', 'Reactive follicular hyperplasia in the elderly', 'Bilateral secondary congenital hyperplasia of lung', 'Bilateral secondary congenital hyperplasia of lung']",Compensatory lobar hyperplasia of liver || Reactive follicular hyperplasia in the elderly || Bilateral secondary congenital hyperplasia of lung,C0267824 || C1264178 || C5437915,3,3,0.0,0.34523809137755107
C0334102,Lymphangiomatosis,associated_morphology_of,"['C0334102', 'C0343092', 'C1274880']","['Lymphangiomatosis', 'Systemic lymphangiomatosis', 'Segmental lymphangiomatosis']",Lymphangiomatosis || Systemic lymphangiomatosis || Segmental lymphangiomatosis,C0334102 || C0343092 || C1274880,3,3,0.0,0.7777777731481481
C0334218,Micronodular regeneration,associated_morphology_of,"['C0267812', 'C0400935', 'C0400944', 'C0400946', 'C0400948', 'C0400948', 'C0400952', 'C1622502', 'C1622502']","['Micronodular cirrhosis', 'Juvenile portal cirrhosis', ""Laennec's cirrhosis, non-alcoholic"", 'Multilobular portal cirrhosis', 'Mixed micro and macronodular cirrhosis', 'Mixed micro and macronodular cirrhosis', 'Bacterial portal cirrhosis', 'Portal cirrhosis unspecified', 'Portal cirrhosis']","Micronodular cirrhosis || Juvenile portal cirrhosis || Laennec's cirrhosis, non-alcoholic || Multilobular portal cirrhosis || Mixed micro and macronodular cirrhosis || Bacterial portal cirrhosis || Portal cirrhosis unspecified || Portal cirrhosis",C0267812 || C0400935 || C0400944 || C0400946 || C0400948 || C0400952 || C1622502 || C1622502,8,8,0.0,0.06249999937500001
C0333263,Subcorneal blister,associated_morphology_of,"['C0600336', 'C0600336', 'C1275442', 'C1275442']","['Subcorneal pustular dermatosis', 'Subcorneal pustular dermatosis', 'Subcorneal pustular dermatosis with paraproteinemia', 'Subcorneal pustular dermatosis with paraproteinemia']",Subcorneal pustular dermatosis || Subcorneal pustular dermatosis with paraproteinemia,C0600336 || C1275442,2,2,0.0,0.3428571384163266
C4518373,Mucinous cystic neoplasm with invasive carcinoma,associated_morphology_of,['C5396359'],['Mucinous cystic neoplasm with invasive carcinoma of pancreas'],Mucinous cystic neoplasm with invasive carcinoma of pancreas,C5396359,1,1,0.0,0.8571428522448981
C1321313,Astrocytic hamartoma,associated_morphology_of,"['C0339554', 'C0339554']","['Astrocytic hamartoma', 'Astrocytic hamartoma']",Astrocytic hamartoma,C0339554,1,1,1.0,0.999999995
C0206627,Mullerian mixed tumor,associated_morphology_of,"['C0280630', 'C4076512']","['Malignant mixed Mullerian tumor of uterus', 'Primary malignant mixed Mullerian neoplasm of endometrium']",Malignant mixed Mullerian tumor of uterus || Primary malignant mixed Mullerian neoplasm of endometrium,C0280630 || C4076512,2,2,0.0,0.32222221790000005
C0154089,Queyrat's erythroplasia,associated_morphology_of,"['C0154089', 'C0154089']","[""Queyrat's erythroplasia"", ""Queyrat's erythroplasia""]",Queyrat's erythroplasia,C0154089,1,1,1.0,0.999999995
C0333337,Internal traumatic fistula,associated_morphology_of,['C0156286'],['Urethral false passage'],Urethral false passage,C0156286,1,1,0.0,0.0
C0206735,Amelanotic melanoma,associated_morphology_of,"['C0349515', 'C0349515']","['Amelanotic malignant melanoma of skin', 'Amelanotic malignant melanoma of skin']",Amelanotic malignant melanoma of skin,C0349515,1,1,0.0,0.5714285673469389
