head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0346175,Malignant Ovarian Granulosa Cell Tumor,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513981', 'C1514083', 'C1881593']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Granulosa Cell', 'Neoplastic Sex Cord-Stromal Cell', 'Malignant Sex Cord-Stromal Cell']",Malignant Cell || Neoplastic Cell || Neoplastic Granulosa Cell || Neoplastic Sex Cord-Stromal Cell || Malignant Sex Cord-Stromal Cell,C0334227 || C0431085 || C1513981 || C1514083 || C1881593,5,5,0.0,0.40476190021644315
C1335163,Ovarian Leiomyosarcoma,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513942', 'C1514033', 'C1514098', 'C1708909', 'C1708917']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Connective and Soft Tissue Cell', 'Neoplastic Muscle Cell', 'Neoplastic Smooth Muscle Cell', 'Malignant Smooth Muscle Cell', 'Malignant Spindle-Shaped Smooth Muscle Cell']",Malignant Cell || Neoplastic Cell || Neoplastic Connective and Soft Tissue Cell || Neoplastic Muscle Cell || Neoplastic Smooth Muscle Cell || Malignant Smooth Muscle Cell || Malignant Spindle-Shaped Smooth Muscle Cell,C0334227 || C0431085 || C1513942 || C1514033 || C1514098 || C1708909 || C1708917,7,7,0.0,0.0
C1336132,Stage IB Uterine Corpus Cancer AJCC v7,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1518174']","['Malignant Cell', 'Neoplastic Cell', 'Malignant Epithelial Cell']",Malignant Cell || Neoplastic Cell || Malignant Epithelial Cell,C0334227 || C0431085 || C1518174,3,3,0.0,0.0
C0280158,Stage III Intermediate Grade Adult Non-Hodgkin's Lymphoma,disease_has_abnormal_cell,['C0431085'],['Neoplastic Cell'],Neoplastic Cell,C0431085,1,1,0.0,0.0
C0279916,Ann Arbor Stage III Childhood Hodgkin Lymphoma,disease_has_abnormal_cell,"['C0085133', 'C0334227', 'C0431085', 'C1513983', 'C1514011', 'C4551752']","['Reed-Sternberg Cell', 'Malignant Cell', 'Neoplastic Cell', 'Neoplastic Hematopoietic and Lymphoid Cell', 'Neoplastic Lymphocyte', 'Abnormal Lymphocyte']",Reed-Sternberg Cell || Malignant Cell || Neoplastic Cell || Neoplastic Hematopoietic and Lymphoid Cell || Neoplastic Lymphocyte || Abnormal Lymphocyte,C0085133 || C0334227 || C0431085 || C1513983 || C1514011 || C4551752,6,6,0.0,0.0
C4725682,Platinum-Resistant Urothelial Carcinoma,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1512972', 'C1513959', 'C1514115', 'C1518174']","['Malignant Cell', 'Neoplastic Cell', 'Malignant Transitional Cell', 'Neoplastic Epithelial Cell', 'Neoplastic Transitional Cell', 'Malignant Epithelial Cell']",Malignant Cell || Neoplastic Cell || Malignant Transitional Cell || Neoplastic Epithelial Cell || Neoplastic Transitional Cell || Malignant Epithelial Cell,C0334227 || C0431085 || C1512972 || C1513959 || C1514115 || C1518174,6,6,0.0,0.0
C1709454,Pancreatic Neuroendocrine Microadenoma,disease_has_abnormal_cell,"['C0431085', 'C1513951', 'C1513959', 'C1514044']","['Neoplastic Cell', 'Neoplastic Endocrine Cell', 'Neoplastic Epithelial Cell', 'Neoplastic Neuroendocrine Cell']",Neoplastic Cell || Neoplastic Endocrine Cell || Neoplastic Epithelial Cell || Neoplastic Neuroendocrine Cell,C0431085 || C1513951 || C1513959 || C1514044,4,4,0.0,0.08333333208333335
C5420820,Metastatic Malignant Neoplasm in the Uvea,disease_has_abnormal_cell,"['C0334227', 'C0431085']","['Malignant Cell', 'Neoplastic Cell']",Malignant Cell || Neoplastic Cell,C0334227 || C0431085,2,2,0.0,0.12499999812500003
C1335693,Recurrent Anaplastic Large Cell Lymphoma,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513983', 'C1514011', 'C1514110', 'C1515967', 'C4551752']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Hematopoietic and Lymphoid Cell', 'Neoplastic Lymphocyte', 'Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell', 'Anaplastic Large T-Lymphocyte', 'Abnormal Lymphocyte']",Malignant Cell || Neoplastic Cell || Neoplastic Hematopoietic and Lymphoid Cell || Neoplastic Lymphocyte || Neoplastic T-Lymphocyte and Neoplastic Natural Killer Cell || Anaplastic Large T-Lymphocyte || Abnormal Lymphocyte,C0334227 || C0431085 || C1513983 || C1514011 || C1514110 || C1515967 || C4551752,7,7,0.0,0.20760667577675868
C0280390,Stage III Hypopharyngeal Squamous Cell Carcinoma AJCC v7,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513959', 'C1514101', 'C1518174', 'C1518245']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Epithelial Cell', 'Neoplastic Squamous Cell', 'Malignant Epithelial Cell', 'Malignant Squamous Cell']",Malignant Cell || Neoplastic Cell || Neoplastic Epithelial Cell || Neoplastic Squamous Cell || Malignant Epithelial Cell || Malignant Squamous Cell,C0334227 || C0431085 || C1513959 || C1514101 || C1518174 || C1518245,6,6,0.0,0.24848484477355373
