head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1335163,Ovarian Leiomyosarcoma,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513942', 'C1514033', 'C1514098', 'C1708909', 'C1708917']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Connective and Soft Tissue Cell', 'Neoplastic Muscle Cell', 'Neoplastic Smooth Muscle Cell', 'Malignant Smooth Muscle Cell', 'Malignant Spindle-Shaped Smooth Muscle Cell']",Malignant Cell || Neoplastic Cell || Neoplastic Connective and Soft Tissue Cell || Neoplastic Muscle Cell || Neoplastic Smooth Muscle Cell || Malignant Smooth Muscle Cell || Malignant Spindle-Shaped Smooth Muscle Cell,C0334227 || C0431085 || C1513942 || C1514033 || C1514098 || C1708909 || C1708917,7,7,0.0,0.0
C1336132,Stage IB Uterine Corpus Cancer AJCC v7,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1518174']","['Malignant Cell', 'Neoplastic Cell', 'Malignant Epithelial Cell']",Malignant Cell || Neoplastic Cell || Malignant Epithelial Cell,C0334227 || C0431085 || C1518174,3,3,0.0,0.0
C0280158,Stage III Intermediate Grade Adult Non-Hodgkin's Lymphoma,disease_has_abnormal_cell,['C0431085'],['Neoplastic Cell'],Neoplastic Cell,C0431085,1,1,0.0,0.0
C0279916,Ann Arbor Stage III Childhood Hodgkin Lymphoma,disease_has_abnormal_cell,"['C0085133', 'C0334227', 'C0431085', 'C1513983', 'C1514011', 'C4551752']","['Reed-Sternberg Cell', 'Malignant Cell', 'Neoplastic Cell', 'Neoplastic Hematopoietic and Lymphoid Cell', 'Neoplastic Lymphocyte', 'Abnormal Lymphocyte']",Reed-Sternberg Cell || Malignant Cell || Neoplastic Cell || Neoplastic Hematopoietic and Lymphoid Cell || Neoplastic Lymphocyte || Abnormal Lymphocyte,C0085133 || C0334227 || C0431085 || C1513983 || C1514011 || C4551752,6,6,0.0,0.0
C4725682,Platinum-Resistant Urothelial Carcinoma,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1512972', 'C1513959', 'C1514115', 'C1518174']","['Malignant Cell', 'Neoplastic Cell', 'Malignant Transitional Cell', 'Neoplastic Epithelial Cell', 'Neoplastic Transitional Cell', 'Malignant Epithelial Cell']",Malignant Cell || Neoplastic Cell || Malignant Transitional Cell || Neoplastic Epithelial Cell || Neoplastic Transitional Cell || Malignant Epithelial Cell,C0334227 || C0431085 || C1512972 || C1513959 || C1514115 || C1518174,6,6,0.0,0.0
C1709454,Pancreatic Neuroendocrine Microadenoma,disease_has_abnormal_cell,"['C0431085', 'C1513951', 'C1513959', 'C1514044']","['Neoplastic Cell', 'Neoplastic Endocrine Cell', 'Neoplastic Epithelial Cell', 'Neoplastic Neuroendocrine Cell']",Neoplastic Cell || Neoplastic Endocrine Cell || Neoplastic Epithelial Cell || Neoplastic Neuroendocrine Cell,C0431085 || C1513951 || C1513959 || C1514044,4,4,0.0,0.08333333208333335
C0346166,Ovarian Seromucinous Tumor,disease_has_abnormal_cell,"['C0431085', 'C1513959']","['Neoplastic Cell', 'Neoplastic Epithelial Cell']",Neoplastic Cell || Neoplastic Epithelial Cell,C0431085 || C1513959,2,2,0.0,0.0
C2987242,Non-Functioning Pancreatic Neuroendocrine Tumor G1,disease_has_abnormal_cell,"['C0431085', 'C1513951', 'C1513959', 'C1514044', 'C1514045']","['Neoplastic Cell', 'Neoplastic Endocrine Cell', 'Neoplastic Epithelial Cell', 'Neoplastic Neuroendocrine Cell', 'Neoplastic Neuroendocrine Polygonal Cell']",Neoplastic Cell || Neoplastic Endocrine Cell || Neoplastic Epithelial Cell || Neoplastic Neuroendocrine Cell || Neoplastic Neuroendocrine Polygonal Cell,C0431085 || C1513951 || C1513959 || C1514044 || C1514045,5,5,0.0,0.09444444251929016
C5237244,BAP1-Inactivated Melanocytoma,disease_has_abnormal_cell,"['C0431085', 'C1514022', 'C1516094']","['Neoplastic Cell', 'Neoplastic Melanocyte', 'Atypical Epithelioid Cell']",Neoplastic Cell || Neoplastic Melanocyte || Atypical Epithelioid Cell,C0431085 || C1514022 || C1516094,3,3,0.0,0.0
C1333466,Esophageal Sarcoma,disease_has_abnormal_cell,"['C0334227', 'C0431085']","['Malignant Cell', 'Neoplastic Cell']",Malignant Cell || Neoplastic Cell,C0334227 || C0431085,2,2,0.0,0.0
C4553874,Stage IVA Differentiated Thyroid Gland Carcinoma AJCC v8,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1510779', 'C1512971', 'C1513951', 'C1513959', 'C1513973', 'C1518172', 'C1518174']","['Malignant Cell', 'Neoplastic Cell', 'Adenocarcinoma Cell', 'Malignant Thyroid Gland Follicular Cell', 'Neoplastic Endocrine Cell', 'Neoplastic Epithelial Cell', 'Neoplastic Glandular Cell', 'Malignant Endocrine Cell', 'Malignant Epithelial Cell']",Malignant Cell || Neoplastic Cell || Adenocarcinoma Cell || Malignant Thyroid Gland Follicular Cell || Neoplastic Endocrine Cell || Neoplastic Epithelial Cell || Neoplastic Glandular Cell || Malignant Endocrine Cell || Malignant Epithelial Cell,C0334227 || C0431085 || C1510779 || C1512971 || C1513951 || C1513959 || C1513973 || C1518172 || C1518174,9,9,0.0,0.03418803366206444
C1266166,Conventional Osteosarcoma,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513942', 'C1514055', 'C1518229', 'C1708867']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Connective and Soft Tissue Cell', 'Neoplastic Osteoblast', 'Malignant Osteoblast', 'Malignant Connective and Soft Tissue Cell']",Malignant Cell || Neoplastic Cell || Neoplastic Connective and Soft Tissue Cell || Neoplastic Osteoblast || Malignant Osteoblast || Malignant Connective and Soft Tissue Cell,C0334227 || C0431085 || C1513942 || C1514055 || C1518229 || C1708867,6,6,0.0,0.0
C3146253,Stage III Rectal Cancer AJCC v7,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513959', 'C1518174']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Epithelial Cell', 'Malignant Epithelial Cell']",Malignant Cell || Neoplastic Cell || Neoplastic Epithelial Cell || Malignant Epithelial Cell,C0334227 || C0431085 || C1513959 || C1518174,4,4,0.0,0.0
C0334368,Mucin-Producing Carcinoma,disease_has_abnormal_cell,"['C0334227', 'C0431085', 'C1513959', 'C1518174', 'C1709082']","['Malignant Cell', 'Neoplastic Cell', 'Neoplastic Epithelial Cell', 'Malignant Epithelial Cell', 'Mucin-Producing Malignant Epithelial Cell']",Malignant Cell || Neoplastic Cell || Neoplastic Epithelial Cell || Malignant Epithelial Cell || Mucin-Producing Malignant Epithelial Cell,C0334227 || C0431085 || C1513959 || C1518174 || C1709082,5,5,0.0,0.06666666577777779
C1335996,Small Intestinal Gastrointestinal Stromal Tumor,disease_has_abnormal_cell,"['C0431085', 'C1513942', 'C1514104']","['Neoplastic Cell', 'Neoplastic Connective and Soft Tissue Cell', 'Neoplastic Stromal Cell']",Neoplastic Cell || Neoplastic Connective and Soft Tissue Cell || Neoplastic Stromal Cell,C0431085 || C1513942 || C1514104,3,3,0.0,0.08333333177083335
