head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1266138,Adult Cystic Nephroma,disease_has_associated_anatomic_site,"['C0022646', 'C0042066', 'C1508753', 'C1881331']","['Kidney', 'Genitourinary System', 'Urinary System', 'Kidney and Ureter']",Kidney || Genitourinary System || Urinary System || Kidney and Ureter,C0022646 || C0042066 || C1508753 || C1881331,4,4,0.0,0.0
C1377917,Stage I Nasopharyngeal Carcinoma AJCC v6,disease_has_associated_anatomic_site,"['C0027442', 'C0027530', 'C0031354', 'C0460004']","['Nasopharynx', 'Neck', 'Pharynx', 'Head and Neck']",Nasopharynx || Neck || Pharynx || Head and Neck,C0027442 || C0027530 || C0031354 || C0460004,4,4,0.0,0.0
C2064429,"Extrahepatic Bile Duct Adenocarcinoma, Intestinal Type",disease_has_associated_anatomic_site,"['C0005400', 'C0005423', 'C0012240', 'C0206187', 'C1711359']","['Bile Duct', 'Biliary Tract', 'Digestive System', 'Extrahepatic Bile Duct', 'Hepatobiliary System']",Bile Duct || Biliary Tract || Digestive System || Extrahepatic Bile Duct || Hepatobiliary System,C0005400 || C0005423 || C0012240 || C0206187 || C1711359,5,5,0.2,0.23333333169444445
C5420395,Lung Alveolar Soft Part Sarcoma,disease_has_associated_anatomic_site,"['C0024109', 'C0035237', 'C0230139', 'C1516798']","['Lung', 'Respiratory System', 'Thoracic Cavity', 'Connective and Soft Tissue']",Lung || Respiratory System || Thoracic Cavity || Connective and Soft Tissue,C0024109 || C0035237 || C0230139 || C1516798,4,4,0.25,0.13888888695987658
C0242172,Pelvic Inflammatory Disease,disease_has_associated_anatomic_site,"['C0042066', 'C0700038', 'C1261210']","['Genitourinary System', 'Female Reproductive System', 'Reproductive System']",Genitourinary System || Female Reproductive System || Reproductive System,C0042066 || C0700038 || C1261210,3,3,0.0,0.0
C1704328,Osteoblastic Osteosarcoma,disease_has_associated_anatomic_site,"['C0026860', 'C0262950', 'C1516798']","['Musculoskeletal System', 'Bone', 'Connective and Soft Tissue']",Musculoskeletal System || Bone || Connective and Soft Tissue,C0026860 || C0262950 || C1516798,3,3,0.0,0.0
C1519852,Uterine Corpus Apoplectic Leiomyoma,disease_has_associated_anatomic_site,"['C0026860', 'C0042066', 'C0042149', 'C0227813', 'C0700038', 'C1261210', 'C1516798']","['Musculoskeletal System', 'Genitourinary System', 'Uterus', 'Corpus Uteri', 'Female Reproductive System', 'Reproductive System', 'Connective and Soft Tissue']",Musculoskeletal System || Genitourinary System || Uterus || Corpus Uteri || Female Reproductive System || Reproductive System || Connective and Soft Tissue,C0026860 || C0042066 || C0042149 || C0227813 || C0700038 || C1261210 || C1516798,7,7,0.0,0.04761904698412699
C4521868,Stage IIB Ampulla of Vater Cancer AJCC v8,disease_has_associated_anatomic_site,"['C0012240', 'C0042425']","['Digestive System', 'Ampulla of Vater']",Digestive System || Ampulla of Vater,C0012240 || C0042425,2,2,0.5,0.27272727074380165
C2981712,Ocular Adnexal Lymphoma,disease_has_associated_anatomic_site,"['C0015392', 'C1512394']","['Eye', 'Hematopoietic and Lymphatic System']",Eye || Hematopoietic and Lymphatic System,C0015392 || C1512394,2,2,0.0,0.0
C4687639,Cardiac Myxofibrosarcoma,disease_has_associated_anatomic_site,"['C0007226', 'C0018787', 'C0035237', 'C0230139', 'C1516798']","['Cardiovascular System', 'Heart', 'Respiratory System', 'Thoracic Cavity', 'Connective and Soft Tissue']",Cardiovascular System || Heart || Respiratory System || Thoracic Cavity || Connective and Soft Tissue,C0007226 || C0018787 || C0035237 || C0230139 || C1516798,5,5,0.0,0.0
