head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1266138,Adult Cystic Nephroma,disease_has_associated_anatomic_site,"['C0022646', 'C0042066', 'C1508753', 'C1881331']","['Kidney', 'Genitourinary System', 'Urinary System', 'Kidney and Ureter']",Kidney || Genitourinary System || Urinary System || Kidney and Ureter,C0022646 || C0042066 || C1508753 || C1881331,4,4,0.0,0.0
C1377917,Stage I Nasopharyngeal Carcinoma AJCC v6,disease_has_associated_anatomic_site,"['C0027442', 'C0027530', 'C0031354', 'C0460004']","['Nasopharynx', 'Neck', 'Pharynx', 'Head and Neck']",Nasopharynx || Neck || Pharynx || Head and Neck,C0027442 || C0027530 || C0031354 || C0460004,4,4,0.0,0.0
C0242172,Pelvic Inflammatory Disease,disease_has_associated_anatomic_site,"['C0042066', 'C0700038', 'C1261210']","['Genitourinary System', 'Female Reproductive System', 'Reproductive System']",Genitourinary System || Female Reproductive System || Reproductive System,C0042066 || C0700038 || C1261210,3,3,0.0,0.0
C1704328,Osteoblastic Osteosarcoma,disease_has_associated_anatomic_site,"['C0026860', 'C0262950', 'C1516798']","['Musculoskeletal System', 'Bone', 'Connective and Soft Tissue']",Musculoskeletal System || Bone || Connective and Soft Tissue,C0026860 || C0262950 || C1516798,3,3,0.0,0.0
C1519852,Uterine Corpus Apoplectic Leiomyoma,disease_has_associated_anatomic_site,"['C0026860', 'C0042066', 'C0042149', 'C0227813', 'C0700038', 'C1261210', 'C1516798']","['Musculoskeletal System', 'Genitourinary System', 'Uterus', 'Corpus Uteri', 'Female Reproductive System', 'Reproductive System', 'Connective and Soft Tissue']",Musculoskeletal System || Genitourinary System || Uterus || Corpus Uteri || Female Reproductive System || Reproductive System || Connective and Soft Tissue,C0026860 || C0042066 || C0042149 || C0227813 || C0700038 || C1261210 || C1516798,7,7,0.0,0.04761904698412699
C2981712,Ocular Adnexal Lymphoma,disease_has_associated_anatomic_site,"['C0015392', 'C1512394']","['Eye', 'Hematopoietic and Lymphatic System']",Eye || Hematopoietic and Lymphatic System,C0015392 || C1512394,2,2,0.0,0.0
C4687639,Cardiac Myxofibrosarcoma,disease_has_associated_anatomic_site,"['C0007226', 'C0018787', 'C0035237', 'C0230139', 'C1516798']","['Cardiovascular System', 'Heart', 'Respiratory System', 'Thoracic Cavity', 'Connective and Soft Tissue']",Cardiovascular System || Heart || Respiratory System || Thoracic Cavity || Connective and Soft Tissue,C0007226 || C0018787 || C0035237 || C0230139 || C1516798,5,5,0.0,0.0
C4526831,Bone Cancer by AJCC v8 Stage,disease_has_associated_anatomic_site,"['C0026860', 'C0262950', 'C1516798']","['Musculoskeletal System', 'Bone', 'Connective and Soft Tissue']",Musculoskeletal System || Bone || Connective and Soft Tissue,C0026860 || C0262950 || C1516798,3,3,0.0,0.09523809442176871
C2698016,Marfan Syndrome Type II,disease_has_associated_anatomic_site,"['C0262950', 'C1516798']","['Bone', 'Connective and Soft Tissue']",Bone || Connective and Soft Tissue,C0262950 || C1516798,2,2,0.0,0.0
C3273260,Non-Neoplastic Brain Disorder,disease_has_associated_anatomic_site,"['C0027763', 'C3714787']","['Nervous System', 'Central Nervous System']",Nervous System || Central Nervous System,C0027763 || C3714787,2,2,0.0,0.0
