head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C2987261,Esophageal Neuroendocrine Tumor G2,disease_has_normal_cell_origin,"['C0014597', 'C3899265']","['Epithelial Cell', 'Endocrine Cell of the Digestive System']",Epithelial Cell || Endocrine Cell of the Digestive System,C0014597 || C3899265,2,2,0.0,0.0
C1704291,Primary Bone Osteosarcoma,disease_has_normal_cell_origin,"['C0009781', 'C0029418']","['Connective and Soft Tissue Cell', 'Osteoblast']",Connective and Soft Tissue Cell || Osteoblast,C0009781 || C0029418,2,2,0.0,0.0
C1336462,Stage I Liver Cancer,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C1516430,Cervical Rhabdomyoma,disease_has_normal_cell_origin,"['C0009781', 'C0596981', 'C1514994', 'C1704336']","['Connective and Soft Tissue Cell', 'Muscle Cell', 'Striated Muscle Cell', 'Skeletal Muscle Cell']",Connective and Soft Tissue Cell || Muscle Cell || Striated Muscle Cell || Skeletal Muscle Cell,C0009781 || C0596981 || C1514994 || C1704336,4,4,0.0,0.0
C1516427,Cervical Mullerian Papilloma,disease_has_normal_cell_origin,"['C0014597', 'C1517548']","['Epithelial Cell', 'Glandular Cell']",Epithelial Cell || Glandular Cell,C0014597 || C1517548,2,2,0.0,0.0
C4682557,Stage IB Uterine Corpus Leiomyosarcoma AJCC v8,disease_has_normal_cell_origin,"['C0009781', 'C0596981', 'C1135918']","['Connective and Soft Tissue Cell', 'Muscle Cell', 'Smooth Muscle Cell']",Connective and Soft Tissue Cell || Muscle Cell || Smooth Muscle Cell,C0009781 || C0596981 || C1135918,3,3,0.0,0.0
C5417749,Incidental Gallbladder Carcinoma,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C4525343,Hilar Cholangiocarcinoma by AJCC v8 Stage,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C1266133,Genital Rhabdomyoma,disease_has_normal_cell_origin,"['C0009781', 'C0596981', 'C1514994', 'C1704336']","['Connective and Soft Tissue Cell', 'Muscle Cell', 'Striated Muscle Cell', 'Skeletal Muscle Cell']",Connective and Soft Tissue Cell || Muscle Cell || Striated Muscle Cell || Skeletal Muscle Cell,C0009781 || C0596981 || C1514994 || C1704336,4,4,0.0,0.0
C4763561,Borderline Resectable Carcinoma,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C1334631,Intraductal Proliferative Lesion of the Breast,disease_has_normal_cell_origin,['C1515275'],['Terminal Ductal Lobular Unit Cell'],Terminal Ductal Lobular Unit Cell,C1515275,1,1,0.0,0.0
C4721652,Stage III Fallopian Tube Cancer AJCC v7,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C4330936,Parietal Lobe and Occipital Lobe Ependymal Tumor,disease_has_normal_cell_origin,"['C0027836', 'C0228092', 'C1449624', 'C1518293']","['Glial Cell', 'Ependymal Cell', 'Neuroepithelial Cell', 'Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System']","Glial Cell || Ependymal Cell || Neuroepithelial Cell || Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System",C0027836 || C0228092 || C1449624 || C1518293,4,4,0.0,0.09374999789062506
C3899662,Childhood Fibrillary Astrocytoma,disease_has_normal_cell_origin,"['C0004112', 'C0027836', 'C1449624', 'C1518293']","['Astrocyte', 'Glial Cell', 'Neuroepithelial Cell', 'Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System']","Astrocyte || Glial Cell || Neuroepithelial Cell || Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System",C0004112 || C0027836 || C1449624 || C1518293,4,4,0.0,0.0
C5206481,Metastatic Colorectal Mucinous Adenocarcinoma,disease_has_normal_cell_origin,"['C0014597', 'C1517548']","['Epithelial Cell', 'Glandular Cell']",Epithelial Cell || Glandular Cell,C0014597 || C1517548,2,2,0.0,0.0
C0349571,Parotid Gland Pleomorphic Adenoma,disease_has_normal_cell_origin,"['C0007634', 'C0225356', 'C1519174']","['Cell', 'Myoepithelial Cell', 'Salivary Gland Myoepithelial Cell']",Cell || Myoepithelial Cell || Salivary Gland Myoepithelial Cell,C0007634 || C0225356 || C1519174,3,3,0.0,0.08333333166666669
C0854488,Cecum Neuroendocrine Tumor G1,disease_has_normal_cell_origin,"['C0014597', 'C3899265']","['Epithelial Cell', 'Endocrine Cell of the Digestive System']",Epithelial Cell || Endocrine Cell of the Digestive System,C0014597 || C3899265,2,2,0.0,0.0
C0854841,Ann Arbor Stage III Angioimmunoblastic T-Cell Lymphoma,disease_has_normal_cell_origin,"['C0024264', 'C0039215', 'C1512385', 'C1515139', 'C1519006']","['Lymphocyte', 'CD4-Positive T-Lymphocyte', 'Hematopoietic and Lymphoid Cell', 'T-Lymphocyte and Natural Killer Cell', 'Peripheral (Post-Thymic) T-Lymphocyte and Natural Killer Cell']",Lymphocyte || CD4-Positive T-Lymphocyte || Hematopoietic and Lymphoid Cell || T-Lymphocyte and Natural Killer Cell || Peripheral (Post-Thymic) T-Lymphocyte and Natural Killer Cell,C0024264 || C0039215 || C1512385 || C1515139 || C1519006,5,5,0.0,0.0
C0280240,Localized Renal Pelvis and Ureter Urothelial Carcinoma,disease_has_normal_cell_origin,"['C0014597', 'C0225340', 'C1519839']","['Epithelial Cell', 'Transitional Cell', 'Urothelial Cell']",Epithelial Cell || Transitional Cell || Urothelial Cell,C0014597 || C0225340 || C1519839,3,3,0.0,0.07407407292181072
C1334659,Mediastinal Leiomyoma,disease_has_normal_cell_origin,"['C0009781', 'C0596981', 'C1135918']","['Connective and Soft Tissue Cell', 'Muscle Cell', 'Smooth Muscle Cell']",Connective and Soft Tissue Cell || Muscle Cell || Smooth Muscle Cell,C0009781 || C0596981 || C1135918,3,3,0.0,0.0
C3899668,Childhood Diffuse Astrocytoma,disease_has_normal_cell_origin,"['C0004112', 'C0027836', 'C1449624', 'C1518293']","['Astrocyte', 'Glial Cell', 'Neuroepithelial Cell', 'Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System']","Astrocyte || Glial Cell || Neuroepithelial Cell || Neuron, Neuroepithelial Cell, and Supporting Cell of the Nervous System",C0004112 || C0027836 || C1449624 || C1518293,4,4,0.0,0.0
C4745255,Mediastinal Immature Teratoma,disease_has_normal_cell_origin,['C0017471'],['Germ Cell'],Germ Cell,C0017471,1,1,0.0,0.0
C4683547,Stage II Adrenal Gland Pheochromocytoma and Sympathetic Paraganglioma AJCC v8,disease_has_normal_cell_origin,"['C0014597', 'C0376604', 'C1709215']","['Epithelial Cell', 'Chromaffin Cell', 'Neural Crest-Derived Cell']",Epithelial Cell || Chromaffin Cell || Neural Crest-Derived Cell,C0014597 || C0376604 || C1709215,3,3,0.0,0.0
C4524854,Appendix Carcinoma by AJCC v7 Stage,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C0349613,Middle Ear Carcinoma In Situ,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C4725630,Recurrent Monomorphic Epitheliotropic Intestinal T-cell Lymphoma,disease_has_normal_cell_origin,"['C0024264', 'C1512385', 'C1512944', 'C1515139', 'C1519006']","['Lymphocyte', 'Hematopoietic and Lymphoid Cell', 'Intraepithelial T-Lymphocyte', 'T-Lymphocyte and Natural Killer Cell', 'Peripheral (Post-Thymic) T-Lymphocyte and Natural Killer Cell']",Lymphocyte || Hematopoietic and Lymphoid Cell || Intraepithelial T-Lymphocyte || T-Lymphocyte and Natural Killer Cell || Peripheral (Post-Thymic) T-Lymphocyte and Natural Killer Cell,C0024264 || C1512385 || C1512944 || C1515139 || C1519006,5,5,0.0,0.0
C4520742,Stage IV Major Salivary Gland Cancer AJCC v7,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C4682695,Stage IIA Penile Cancer AJCC v8,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C1516406,"Cervical Adenomyoma, Endometrial Type",disease_has_normal_cell_origin,"['C0007634', 'C0162597']","['Cell', 'Stromal Cell']",Cell || Stromal Cell,C0007634 || C0162597,2,2,0.0,0.0
C4524732,Pathologic Stage IIA Gastroesophageal Junction Adenocarcinoma AJCC v8,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C0259781,Compound Nevus,disease_has_normal_cell_origin,['C0025201'],['Melanocyte'],Melanocyte,C0025201,1,1,0.0,0.0
C0334377,Intraductal Papillomatosis,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C4683014,Stage II Eyelid Carcinoma AJCC v8,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C5237247,Combined Nevus,disease_has_normal_cell_origin,['C0025201'],['Melanocyte'],Melanocyte,C0025201,1,1,0.0,0.0
C1708717,Localized Resectable Adult Hepatocellular Carcinoma,disease_has_normal_cell_origin,"['C0014597', 'C0227525']","['Epithelial Cell', 'Hepatocyte']",Epithelial Cell || Hepatocyte,C0014597 || C0227525,2,2,0.0,0.0
C4525622,Stage II Ampulla of Vater Neuroendocrine Tumor AJCC v8,disease_has_normal_cell_origin,"['C0014597', 'C3899265']","['Epithelial Cell', 'Endocrine Cell of the Digestive System']",Epithelial Cell || Endocrine Cell of the Digestive System,C0014597 || C3899265,2,2,0.0,0.06666666426666674
C4330670,"Medulloblastoma, SHH-Activated, TP53-Wildtype",disease_has_normal_cell_origin,['C1947950'],['Embryonic Cell'],Embryonic Cell,C1947950,1,1,0.0,0.0
C1333137,Breast Complex Fibroadenoma,disease_has_normal_cell_origin,"['C0007634', 'C0162597']","['Cell', 'Stromal Cell']",Cell || Stromal Cell,C0007634 || C0162597,2,2,0.0,0.0
C1332244,"Ampulla of Vater Adenoma, Intestinal-Type",disease_has_normal_cell_origin,"['C0007634', 'C0014597', 'C1517548']","['Cell', 'Epithelial Cell', 'Glandular Cell']",Cell || Epithelial Cell || Glandular Cell,C0007634 || C0014597 || C1517548,3,3,0.0,0.0
C4526710,Lung Cancer by AJCC v8 Stage,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C0346342,Lacrimal Gland Carcinoma ex Pleomorphic Adenoma,disease_has_normal_cell_origin,"['C0007634', 'C0014597', 'C0225356']","['Cell', 'Epithelial Cell', 'Myoepithelial Cell']",Cell || Epithelial Cell || Myoepithelial Cell,C0007634 || C0014597 || C0225356,3,3,0.0,0.0
C0347515,Spinal Cord Meningioma,disease_has_normal_cell_origin,['C1513123'],['Meningothelial Cell'],Meningothelial Cell,C1513123,1,1,0.0,0.0
C4525203,Stage III Hepatocellular Carcinoma AJCC v8,disease_has_normal_cell_origin,"['C0014597', 'C0227525']","['Epithelial Cell', 'Hepatocyte']",Epithelial Cell || Hepatocyte,C0014597 || C0227525,2,2,0.0,0.0
C1514921,Retroperitoneal Inflammatory Myofibroblastic Tumor,disease_has_normal_cell_origin,"['C0009781', 'C0016030']","['Connective and Soft Tissue Cell', 'Fibroblast']",Connective and Soft Tissue Cell || Fibroblast,C0009781 || C0016030,2,2,0.0,0.0
C5418786,Advanced Rectal Carcinoma,disease_has_normal_cell_origin,['C0014597'],['Epithelial Cell'],Epithelial Cell,C0014597,1,1,0.0,0.0
C0472762,Alpha Thalassemia Trait,disease_has_normal_cell_origin,['C1512385'],['Hematopoietic and Lymphoid Cell'],Hematopoietic and Lymphoid Cell,C1512385,1,1,0.0,0.0
C0677956,Ann Arbor Stage II Non-Hodgkin Lymphoma,disease_has_normal_cell_origin,"['C0024264', 'C1512385']","['Lymphocyte', 'Hematopoietic and Lymphoid Cell']",Lymphocyte || Hematopoietic and Lymphoid Cell,C0024264 || C1512385,2,2,0.0,0.0
C1333509,Extrahepatic Bile Duct Lipoma,disease_has_normal_cell_origin,"['C0009781', 'C0206131']","['Connective and Soft Tissue Cell', 'Adipocyte']",Connective and Soft Tissue Cell || Adipocyte,C0009781 || C0206131,2,2,0.0,0.0
C1510796,Adenosquamous Breast Carcinoma,disease_has_normal_cell_origin,"['C0007634', 'C0014597']","['Cell', 'Epithelial Cell']",Cell || Epithelial Cell,C0007634 || C0014597,2,2,0.0,0.0
