head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1513721,Thyroid Gland Mucoepidermoid Carcinoma,disease_has_normal_tissue_origin,"['C0014609', 'C1710410']","['Epithelial Tissue', 'Thyroid Gland Epithelial Tissue']",Epithelial Tissue || Thyroid Gland Epithelial Tissue,C0014609 || C1710410,2,2,0.0,0.24999999750000004
C2981671,Stage IB Ampulla of Vater Cancer AJCC v7,disease_has_normal_tissue_origin,['C0014609'],['Epithelial Tissue'],Epithelial Tissue,C0014609,1,1,0.0,0.0
C0855045,Recurrent Extraskeletal Ewing Sarcoma,disease_has_normal_tissue_origin,"['C0027789', 'C0225317', 'C0920502', 'C1516798']","['Neural Crest', 'Soft Tissue', 'Embryonic Tissue', 'Connective and Soft Tissue']",Neural Crest || Soft Tissue || Embryonic Tissue || Connective and Soft Tissue,C0027789 || C0225317 || C0920502 || C1516798,4,4,0.0,0.0
C0268885,Prostate Fibroma,disease_has_normal_tissue_origin,"['C0225317', 'C1516798']","['Soft Tissue', 'Connective and Soft Tissue']",Soft Tissue || Connective and Soft Tissue,C0225317 || C1516798,2,2,0.0,0.0
C0278985,Adult Extraskeletal Osteosarcoma,disease_has_normal_tissue_origin,"['C0225317', 'C1516798']","['Soft Tissue', 'Connective and Soft Tissue']",Soft Tissue || Connective and Soft Tissue,C0225317 || C1516798,2,2,0.0,0.0
C1332056,AIDS-Related Plasmablastic Lymphoma of Mucosa Site,disease_has_normal_tissue_origin,"['C0024296', 'C0026724', 'C1512398']","['Lymphoid Tissue', 'Mucosa', 'Hematopoietic and Lymphoid Tissue']",Lymphoid Tissue || Mucosa || Hematopoietic and Lymphoid Tissue,C0024296 || C0026724 || C1512398,3,3,0.3333333333333333,0.09523809442176871
C0027830,Neurofibroma,disease_has_normal_tissue_origin,"['C1518249', 'C1518250']","['Nerve Tissue and Nerve Sheaths', 'Nerve Tissue, Neuroepithelial Tissue, and Nerve Sheaths']","Nerve Tissue and Nerve Sheaths || Nerve Tissue, Neuroepithelial Tissue, and Nerve Sheaths",C1518249 || C1518250,2,2,0.0,0.0
C0033822,Pseudomyxoma Peritonei,disease_has_normal_tissue_origin,['C0014609'],['Epithelial Tissue'],Epithelial Tissue,C0014609,1,1,0.0,0.0
C0334362,Borderline Papillary Serous Cystadenoma,disease_has_normal_tissue_origin,"['C0014609', 'C0682578']","['Epithelial Tissue', 'Glandular Epithelium']",Epithelial Tissue || Glandular Epithelium,C0014609 || C0682578,2,2,0.0,0.0
C4527167,Clinical Stage IIA Cutaneous Melanoma AJCC v8,disease_has_normal_tissue_origin,['C4520859'],['Skin Tissue'],Skin Tissue,C4520859,1,1,0.0,0.0
C5419077,Locally Advanced Liver Carcinoma,disease_has_normal_tissue_origin,"['C0014609', 'C1708346']","['Epithelial Tissue', 'Hepatobiliary Tissue']",Epithelial Tissue || Hepatobiliary Tissue,C0014609 || C1708346,2,2,0.0,0.0
C2981365,Stage IIIC Gastric Cancer AJCC v7,disease_has_normal_tissue_origin,"['C0014609', 'C0017136']","['Epithelial Tissue', 'Gastric Mucosa']",Epithelial Tissue || Gastric Mucosa,C0014609 || C0017136,2,2,0.0,0.12499999812500003
C1335515,Prostate Neuroendocrine Neoplasm,disease_has_normal_tissue_origin,"['C0014609', 'C1514521']","['Epithelial Tissue', 'Prostatic Tissue']",Epithelial Tissue || Prostatic Tissue,C0014609 || C1514521,2,2,0.0,0.0
C0855200,Ann Arbor Stage II Subdiaphragmatic Mixed Cellularity Classic Hodgkin Lymphoma,disease_has_normal_tissue_origin,"['C0024296', 'C1512398']","['Lymphoid Tissue', 'Hematopoietic and Lymphoid Tissue']",Lymphoid Tissue || Hematopoietic and Lymphoid Tissue,C0024296 || C1512398,2,2,0.0,0.0
