head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C2981671,Stage IB Ampulla of Vater Cancer AJCC v7,disease_has_normal_tissue_origin,['C0014609'],['Epithelial Tissue'],Epithelial Tissue,C0014609,1,1,0.0,0.0
C0855045,Recurrent Extraskeletal Ewing Sarcoma,disease_has_normal_tissue_origin,"['C0027789', 'C0225317', 'C0920502', 'C1516798']","['Neural Crest', 'Soft Tissue', 'Embryonic Tissue', 'Connective and Soft Tissue']",Neural Crest || Soft Tissue || Embryonic Tissue || Connective and Soft Tissue,C0027789 || C0225317 || C0920502 || C1516798,4,4,0.0,0.0
C0268885,Prostate Fibroma,disease_has_normal_tissue_origin,"['C0225317', 'C1516798']","['Soft Tissue', 'Connective and Soft Tissue']",Soft Tissue || Connective and Soft Tissue,C0225317 || C1516798,2,2,0.0,0.0
C0278985,Adult Extraskeletal Osteosarcoma,disease_has_normal_tissue_origin,"['C0225317', 'C1516798']","['Soft Tissue', 'Connective and Soft Tissue']",Soft Tissue || Connective and Soft Tissue,C0225317 || C1516798,2,2,0.0,0.0
C0027830,Neurofibroma,disease_has_normal_tissue_origin,"['C1518249', 'C1518250']","['Nerve Tissue and Nerve Sheaths', 'Nerve Tissue, Neuroepithelial Tissue, and Nerve Sheaths']","Nerve Tissue and Nerve Sheaths || Nerve Tissue, Neuroepithelial Tissue, and Nerve Sheaths",C1518249 || C1518250,2,2,0.0,0.0
C0033822,Pseudomyxoma Peritonei,disease_has_normal_tissue_origin,['C0014609'],['Epithelial Tissue'],Epithelial Tissue,C0014609,1,1,0.0,0.0
C0334362,Borderline Papillary Serous Cystadenoma,disease_has_normal_tissue_origin,"['C0014609', 'C0682578']","['Epithelial Tissue', 'Glandular Epithelium']",Epithelial Tissue || Glandular Epithelium,C0014609 || C0682578,2,2,0.0,0.0
C4527167,Clinical Stage IIA Cutaneous Melanoma AJCC v8,disease_has_normal_tissue_origin,['C4520859'],['Skin Tissue'],Skin Tissue,C4520859,1,1,0.0,0.0
C5419077,Locally Advanced Liver Carcinoma,disease_has_normal_tissue_origin,"['C0014609', 'C1708346']","['Epithelial Tissue', 'Hepatobiliary Tissue']",Epithelial Tissue || Hepatobiliary Tissue,C0014609 || C1708346,2,2,0.0,0.0
C1335515,Prostate Neuroendocrine Neoplasm,disease_has_normal_tissue_origin,"['C0014609', 'C1514521']","['Epithelial Tissue', 'Prostatic Tissue']",Epithelial Tissue || Prostatic Tissue,C0014609 || C1514521,2,2,0.0,0.0
C0855200,Ann Arbor Stage II Subdiaphragmatic Mixed Cellularity Classic Hodgkin Lymphoma,disease_has_normal_tissue_origin,"['C0024296', 'C1512398']","['Lymphoid Tissue', 'Hematopoietic and Lymphoid Tissue']",Lymphoid Tissue || Hematopoietic and Lymphoid Tissue,C0024296 || C1512398,2,2,0.0,0.0
C5419897,Digestive System Diffuse Large B-Cell Lymphoma,disease_has_normal_tissue_origin,"['C0024296', 'C1512398']","['Lymphoid Tissue', 'Hematopoietic and Lymphoid Tissue']",Lymphoid Tissue || Hematopoietic and Lymphoid Tissue,C0024296 || C1512398,2,2,0.0,0.0
C4288893,Infant Acute Biphenotypic Leukemia,disease_has_normal_tissue_origin,['C1512398'],['Hematopoietic and Lymphoid Tissue'],Hematopoietic and Lymphoid Tissue,C1512398,1,1,0.0,0.0
C1332674,AIDS-Related Anal Non-Hodgkin Lymphoma,disease_has_normal_tissue_origin,"['C0024296', 'C1512398']","['Lymphoid Tissue', 'Hematopoietic and Lymphoid Tissue']",Lymphoid Tissue || Hematopoietic and Lymphoid Tissue,C0024296 || C1512398,2,2,0.0,0.0
C1335161,Ovarian Fibrosarcoma,disease_has_normal_tissue_origin,"['C0225317', 'C1516798']","['Soft Tissue', 'Connective and Soft Tissue']",Soft Tissue || Connective and Soft Tissue,C0225317 || C1516798,2,2,0.0,0.0
C0334475,Lipoblastomatosis,disease_has_normal_tissue_origin,"['C0001527', 'C1516798']","['Adipose Tissue', 'Connective and Soft Tissue']",Adipose Tissue || Connective and Soft Tissue,C0001527 || C1516798,2,2,0.0,0.0
C2984094,Breast Cancer by AJCC v7 Stage,disease_has_normal_tissue_origin,"['C0014609', 'C0596882']","['Epithelial Tissue', 'Mammary Epithelium']",Epithelial Tissue || Mammary Epithelium,C0014609 || C0596882,2,2,0.0,0.0
C4524524,Stage IV Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8,disease_has_normal_tissue_origin,"['C0014520', 'C0014609']","['Epidermis', 'Epithelial Tissue']",Epidermis || Epithelial Tissue,C0014520 || C0014609,2,2,0.0,0.0
C1335693,Recurrent Anaplastic Large Cell Lymphoma,disease_has_normal_tissue_origin,"['C0024296', 'C1512398']","['Lymphoid Tissue', 'Hematopoietic and Lymphoid Tissue']",Lymphoid Tissue || Hematopoietic and Lymphoid Tissue,C0024296 || C1512398,2,2,0.0,0.0
C4552925,Stage IB Uterine Corpus Cancer AJCC v8,disease_has_normal_tissue_origin,['C0014180'],['Endometrium'],Endometrium,C0014180,1,1,0.0,0.0
C0334424,Cutaneous Nodular Melanoma,disease_has_normal_tissue_origin,['C4520859'],['Skin Tissue'],Skin Tissue,C4520859,1,1,0.0,0.0
