head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1336455,Ann Arbor Stage I Follicular Lymphoma,disease_mapped_to_gene,['C0376515'],['BCL2 Gene'],BCL2 Gene,C0376515,1,1,0.0,0.0
C1333836,Grade 2 Cutaneous Follicular Lymphoma,disease_mapped_to_gene,['C0376515'],['BCL2 Gene'],BCL2 Gene,C0376515,1,1,0.0,0.0
C1370659,Plexiform Schwannoma,disease_mapped_to_gene,['C0085114'],['NF2 Gene'],NF2 Gene,C0085114,1,1,0.0,0.0
C0278852,Stage I Thyroid Gland Follicular Carcinoma AJCC v7,disease_mapped_to_gene,"['C1833640', 'C4744600']","['PAX8/PPARG Fusion Gene', 'CREB3L2/PPARG Fusion Gene']",PAX8/PPARG Fusion Gene || CREB3L2/PPARG Fusion Gene,C1833640 || C4744600,2,2,0.0,0.0
C5239499,Refractory Thyroid Gland Hurthle Cell Carcinoma,disease_mapped_to_gene,"['C1833640', 'C4744600']","['PAX8/PPARG Fusion Gene', 'CREB3L2/PPARG Fusion Gene']",PAX8/PPARG Fusion Gene || CREB3L2/PPARG Fusion Gene,C1833640 || C4744600,2,2,0.0,0.0
C4683429,Stage I Thyroid Gland Follicular Carcinoma 55 Years and Older AJCC v8,disease_mapped_to_gene,"['C1833640', 'C4744600']","['PAX8/PPARG Fusion Gene', 'CREB3L2/PPARG Fusion Gene']",PAX8/PPARG Fusion Gene || CREB3L2/PPARG Fusion Gene,C1833640 || C4744600,2,2,0.0,0.0
C1707438,Colorectal Medullary Carcinoma,disease_mapped_to_gene,"['C0079419', 'C0162832', 'C0812241', 'C1537502']","['TP53 Gene', 'APC Gene', 'BRAF Gene', 'KRAS Gene']",TP53 Gene || APC Gene || BRAF Gene || KRAS Gene,C0079419 || C0162832 || C0812241 || C1537502,4,4,0.0,0.0
C0280330,Subglottic Verrucous Carcinoma,disease_mapped_to_gene,['C0079419'],['TP53 Gene'],TP53 Gene,C0079419,1,1,0.0,0.0
C1336482,Stage I Lung Small Cell Carcinoma AJCC v7,disease_mapped_to_gene,['C0079419'],['TP53 Gene'],TP53 Gene,C0079419,1,1,0.0,0.0
C0555191,Skin Sclerosing/Morphoeic Basal Cell Carcinoma,disease_mapped_to_gene,['C1826732'],['PTCH1 Gene'],PTCH1 Gene,C1826732,1,1,0.0,0.0
C4521747,Pathologic Stage IIIB Esophageal Squamous Cell Carcinoma AJCC v8,disease_mapped_to_gene,['C0079419'],['TP53 Gene'],TP53 Gene,C0079419,1,1,0.0,0.0
C2187547,Retroperitoneal Leiomyosarcoma,disease_mapped_to_gene,['C0694889'],['RB1 Gene'],RB1 Gene,C0694889,1,1,0.0,0.0
C1336400,Stage IVC Nasopharyngeal Keratinizing Squamous Cell Carcinoma AJCC v7,disease_mapped_to_gene,['C1333899'],['HLA-A Gene'],HLA-A Gene,C1333899,1,1,0.0,0.0
C5204269,Kidney Schwannoma,disease_mapped_to_gene,['C0085114'],['NF2 Gene'],NF2 Gene,C0085114,1,1,0.0,0.0
C1367861,Skin Micronodular Basal Cell Carcinoma,disease_mapped_to_gene,['C1826732'],['PTCH1 Gene'],PTCH1 Gene,C1826732,1,1,0.0,0.0
C4551973,Miyoshi Muscular Dystrophy 1,disease_mapped_to_gene,['C1414209'],['DYSF Gene'],DYSF Gene,C1414209,1,1,0.0,0.0
C4744398,Recurrent Endometrial Clear Cell Adenocarcinoma,disease_mapped_to_gene,['C0079419'],['TP53 Gene'],TP53 Gene,C0079419,1,1,0.0,0.0
