head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C5237070,Advanced Merkel Cell Carcinoma,disease_may_have_associated_disease,['C2698045'],['Merkel Cell Polyomavirus Infection'],Merkel Cell Polyomavirus Infection,C2698045,1,1,0.0,0.4999999950000001
C1707588,Cutaneous Nasal Type Extranodal NK/T-Cell Lymphoma,disease_may_have_associated_disease,"['C0024307', 'C0149678']","['Angiocentric Immunoproliferative Lesion', 'EBV Infection']",Angiocentric Immunoproliferative Lesion || EBV Infection,C0024307 || C0149678,2,2,0.0,0.0
C1335377,Periampullary Adenocarcinoma,disease_may_have_associated_disease,['C0010346'],['Crohn Disease'],Crohn Disease,C0010346,1,1,0.0,0.0
C5418812,Advanced Endometrial Endometrioid Adenocarcinoma,disease_may_have_associated_disease,['C0349579'],['Atypical Endometrial Hyperplasia'],Atypical Endometrial Hyperplasia,C0349579,1,1,0.0,0.2857142808163266
C4552100,Lynch Syndrome,disease_may_have_associated_disease,"['C0238196', 'C0279633', 'C0476089', 'C0600079', 'C1335749', 'C4721610']","['Small Intestinal Carcinoma', 'Gastric Intestinal-Type Adenocarcinoma', 'Endometrial Carcinoma', 'Ureter Carcinoma', 'Renal Pelvis Carcinoma', 'Ovarian Carcinoma']",Small Intestinal Carcinoma || Gastric Intestinal-Type Adenocarcinoma || Endometrial Carcinoma || Ureter Carcinoma || Renal Pelvis Carcinoma || Ovarian Carcinoma,C0238196 || C0279633 || C0476089 || C0600079 || C1335749 || C4721610,6,6,0.0,0.0
C1334784,Mixed Epithelial and Mesenchymal Hepatoblastoma,disease_may_have_associated_disease,"['C0002871', 'C0019294']","['Anemia', 'Inguinal Hernia']",Anemia || Inguinal Hernia,C0002871 || C0019294,2,2,0.0,0.0
C4086153,Childhood Atypical Choroid Plexus Papilloma,disease_may_have_associated_disease,"['C0020255', 'C0038379']","['Hydrocephalus', 'Strabismus']",Hydrocephalus || Strabismus,C0020255 || C0038379,2,2,0.0,0.0
C1266095,Thymoma Type B2,disease_may_have_associated_disease,['C0026896'],['Myasthenia Gravis'],Myasthenia Gravis,C0026896,1,1,0.0,0.0
C1515295,Testicular Seminoma with Syncytiotrophoblastic Cells,disease_may_have_associated_disease,"['C0010417', 'C0848558']","['Undescended Testes', 'Hypospadias']",Undescended Testes || Hypospadias,C0010417 || C0848558,2,2,0.0,0.0
C0023479,Acute Myelomonocytic Leukemia,disease_may_have_associated_disease,['C0002871'],['Anemia'],Anemia,C0002871,1,1,0.0,0.0
C0278785,Recurrent Adult Acute Lymphoblastic Leukemia,disease_may_have_associated_disease,['C0002871'],['Anemia'],Anemia,C0002871,1,1,0.0,0.0
C5236959,Unresectable Periampullary Adenocarcinoma,disease_may_have_associated_disease,['C0010346'],['Crohn Disease'],Crohn Disease,C0010346,1,1,0.0,0.0
C2987185,"Pancreatic Mucinous-Cystic Neoplasm, High Grade",disease_may_have_associated_disease,['C0011849'],['Diabetes Mellitus'],Diabetes Mellitus,C0011849,1,1,0.0,0.0
C0024223,Lymphangioleiomyoma,disease_may_have_associated_disease,['C0041341'],['Tuberous Sclerosis'],Tuberous Sclerosis,C0041341,1,1,0.0,0.0
C0861819,Metastatic Small Intestinal Adenocarcinoma,disease_may_have_associated_disease,['C0010346'],['Crohn Disease'],Crohn Disease,C0010346,1,1,0.0,0.0
C3272841,MUTYH-Associated Polyposis,disease_may_have_associated_disease,"['C0009402', 'C0236048', 'C1302392']","['Colorectal Carcinoma', 'Gastric Polyp', 'Small Intestinal Adenoma']",Colorectal Carcinoma || Gastric Polyp || Small Intestinal Adenoma,C0009402 || C0236048 || C1302392,3,3,0.0,0.0
C4684863,Refractory Peripheral Primitive Neuroectodermal Tumor,disease_may_have_associated_disease,['C0002871'],['Anemia'],Anemia,C0002871,1,1,0.0,0.0
C4725699,Fibrin-Associated Diffuse Large B-Cell Lymphoma,disease_may_have_associated_disease,['C0149678'],['EBV Infection'],EBV Infection,C0149678,1,1,0.0,0.0
C4682626,Stage IVA Ovarian Cancer AJCC v8,disease_may_have_associated_disease,['C0476089'],['Endometrial Carcinoma'],Endometrial Carcinoma,C0476089,1,1,0.0,0.0
C0279635,Gastric Diffuse Adenocarcinoma,disease_may_have_associated_disease,['C0023743'],['Linitis Plastica'],Linitis Plastica,C0023743,1,1,0.0,0.0
C4287828,Ovarian Cancer by AJCC v6 and v7 Stage,disease_may_have_associated_disease,['C0476089'],['Endometrial Carcinoma'],Endometrial Carcinoma,C0476089,1,1,0.0,0.0
C1332963,Childhood Choroid Plexus Papilloma,disease_may_have_associated_disease,"['C0020255', 'C0038379']","['Hydrocephalus', 'Strabismus']",Hydrocephalus || Strabismus,C0020255 || C0038379,2,2,0.0,0.0
C4553667,Stage IIIB Ovarian Cancer AJCC v8,disease_may_have_associated_disease,['C0476089'],['Endometrial Carcinoma'],Endometrial Carcinoma,C0476089,1,1,0.0,0.0
C1332146,Acute Adult T-Cell Leukemia/Lymphoma,disease_may_have_associated_disease,"['C0029118', 'C1274233']","['Opportunistic Infection', 'T-Cell Immunodeficiency']",Opportunistic Infection || T-Cell Immunodeficiency,C0029118 || C1274233,2,2,0.0,0.16666666444444447
C0457002,Granulomatous Slack Skin Disease,disease_may_have_associated_disease,['C0019829'],['Hodgkin Lymphoma'],Hodgkin Lymphoma,C0019829,1,1,0.0,0.0
C0041408,Turner Syndrome,disease_may_have_associated_disease,"['C0206620', 'C1300347']","['Cystic Hygroma', 'Atypical Polypoid Adenomyoma']",Cystic Hygroma || Atypical Polypoid Adenomyoma,C0206620 || C1300347,2,2,0.0,0.0
C4552929,Stage IC Ovarian Cancer AJCC v8,disease_may_have_associated_disease,['C0476089'],['Endometrial Carcinoma'],Endometrial Carcinoma,C0476089,1,1,0.0,0.0
C0854833,Ann Arbor Stage I Nasal Type NK/T-Cell Lymphoma,disease_may_have_associated_disease,"['C0024307', 'C0149678']","['Angiocentric Immunoproliferative Lesion', 'EBV Infection']",Angiocentric Immunoproliferative Lesion || EBV Infection,C0024307 || C0149678,2,2,0.0,0.0
C2936664,Common Variable Immunodeficiency,disease_may_have_associated_disease,['C4725913'],['Lymphoproliferative Disease Associated with Primary Immune Disorder'],Lymphoproliferative Disease Associated with Primary Immune Disorder,C4725913,1,1,0.0,0.0
C0854832,Refractory Nasal Type Extranodal NK/T-Cell Lymphoma,disease_may_have_associated_disease,"['C0024307', 'C0149678']","['Angiocentric Immunoproliferative Lesion', 'EBV Infection']",Angiocentric Immunoproliferative Lesion || EBV Infection,C0024307 || C0149678,2,2,0.0,0.0
C1333058,Classic Type Atypical Fibroxanthoma,disease_may_have_associated_disease,['C0022602'],['Actinic Keratosis'],Actinic Keratosis,C0022602,1,1,0.0,0.0
C5206759,Metastatic Thyroid Gland Medullary Carcinoma,disease_may_have_associated_disease,['C0030472'],['Paraneoplastic Syndrome'],Paraneoplastic Syndrome,C0030472,1,1,0.0,0.0
C1518873,"Pancreatic Intraductal Papillary-Mucinous Neoplasm, High Grade",disease_may_have_associated_disease,"['C0011849', 'C0030305']","['Diabetes Mellitus', 'Pancreatitis']",Diabetes Mellitus || Pancreatitis,C0011849 || C0030305,2,2,0.0,0.0
C0855215,Stage III Testicular Yolk Sac Tumor AJCC v6 and v7,disease_may_have_associated_disease,"['C0010417', 'C0848558', 'C1266157']","['Undescended Testes', 'Hypospadias', 'Testicular Germ Cell Neoplasia In Situ']",Undescended Testes || Hypospadias || Testicular Germ Cell Neoplasia In Situ,C0010417 || C0848558 || C1266157,3,3,0.0,0.04166666510416673
C0016034,Breast Fibrocystic Change,disease_may_have_associated_disease,"['C0152442', 'C2826599']","['Mammary Duct Ectasia', 'Focal Mammary Duct Ectasia']",Mammary Duct Ectasia || Focal Mammary Duct Ectasia,C0152442 || C2826599,2,2,0.0,0.0
C0854838,Ann Arbor Stage IV Nasal Type NK/T-Cell Lymphoma,disease_may_have_associated_disease,"['C0024307', 'C0149678']","['Angiocentric Immunoproliferative Lesion', 'EBV Infection']",Angiocentric Immunoproliferative Lesion || EBV Infection,C0024307 || C0149678,2,2,0.0,0.0
C2363142,T-Cell Prolymphocytic Leukemia,disease_may_have_associated_disease,['C0002871'],['Anemia'],Anemia,C0002871,1,1,0.0,0.0
C1848411,"Xeroderma Pigmentosum, Complementation Group E",disease_may_have_associated_disease,"['C0151779', 'C0553723', 'C4721806']","['Cutaneous Melanoma', 'Skin Squamous Cell Carcinoma', 'Skin Basal Cell Carcinoma']",Cutaneous Melanoma || Skin Squamous Cell Carcinoma || Skin Basal Cell Carcinoma,C0151779 || C0553723 || C4721806,3,3,0.0,0.0
C4763645,Recurrent Monomorphic Post-Transplant Lymphoproliferative Disorder,disease_may_have_associated_disease,['C0149678'],['EBV Infection'],EBV Infection,C0149678,1,1,0.0,0.0
C0018854,Gamma Heavy Chain Disease,disease_may_have_associated_disease,"['C0002880', 'C0004623', 'C0272286']","['Autoimmune Hemolytic Anemia', 'Bacterial Infection', 'Thrombocytopenia Due to Immune Destruction']",Autoimmune Hemolytic Anemia || Bacterial Infection || Thrombocytopenia Due to Immune Destruction,C0002880 || C0004623 || C0272286,3,3,0.0,0.0
C0279583,Childhood T Acute Lymphoblastic Leukemia,disease_may_have_associated_disease,['C0002871'],['Anemia'],Anemia,C0002871,1,1,0.0,0.0
C4727194,Locally Advanced Small Intestinal Carcinoma,disease_may_have_associated_disease,['C0010346'],['Crohn Disease'],Crohn Disease,C0010346,1,1,0.0,0.0
C4725616,Refractory Ovarian Endometrioid Adenocarcinoma,disease_may_have_associated_disease,"['C0014175', 'C0476089', 'C1336905']","['Endometriosis', 'Endometrial Carcinoma', 'Endometrial Endometrioid Adenocarcinoma']",Endometriosis || Endometrial Carcinoma || Endometrial Endometrioid Adenocarcinoma,C0014175 || C0476089 || C1336905,3,3,0.0,0.19047618884353745
C0278685,Stage I Ovarian Cancer AJCC v6 and v7,disease_may_have_associated_disease,['C0476089'],['Endometrial Carcinoma'],Endometrial Carcinoma,C0476089,1,1,0.0,0.0
C0025267,Multiple Endocrine Neoplasia Type 1,disease_may_have_associated_disease,"['C0032000', 'C0242363', 'C0262587', 'C1333321', 'C1333631']","['Pituitary Gland Adenoma', 'Pancreatic Neuroendocrine Neoplasm', 'Parathyroid Gland Adenoma', 'Duodenal Gastrin-Producing Neuroendocrine Tumor', 'Foregut Carcinoid Tumor']",Pituitary Gland Adenoma || Pancreatic Neuroendocrine Neoplasm || Parathyroid Gland Adenoma || Duodenal Gastrin-Producing Neuroendocrine Tumor || Foregut Carcinoid Tumor,C0032000 || C0242363 || C0262587 || C1333321 || C1333631,5,5,0.0,0.0
C1335500,"Breast Fibrocystic Change, Proliferative Type without Atypia",disease_may_have_associated_disease,"['C0152442', 'C0205875', 'C0741698', 'C2826599']","['Mammary Duct Ectasia', 'Papillomatosis', 'Ductal Breast Hyperplasia', 'Focal Mammary Duct Ectasia']",Mammary Duct Ectasia || Papillomatosis || Ductal Breast Hyperplasia || Focal Mammary Duct Ectasia,C0152442 || C0205875 || C0741698 || C2826599,4,4,0.0,0.04999999895000002
C0346290,Benign Choroid Plexus Neoplasm,disease_may_have_associated_disease,['C0038379'],['Strabismus'],Strabismus,C0038379,1,1,0.0,0.0
C4688331,BRCA-Mutated Ovarian Carcinoma,disease_may_have_associated_disease,['C0476089'],['Endometrial Carcinoma'],Endometrial Carcinoma,C0476089,1,1,0.0,0.39999999520000007
C1511196,Bladder Papillary Clear Cell Adenocarcinoma,disease_may_have_associated_disease,"['C1336892', 'C1512907']","['Urinary Bladder Nephrogenic Adenoma', 'Intestinal Metaplasia of Bladder Urothelium']",Urinary Bladder Nephrogenic Adenoma || Intestinal Metaplasia of Bladder Urothelium,C1336892 || C1512907,2,2,0.0,0.21111110614197542
C2826055,"Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified",disease_may_have_associated_disease,['C0002871'],['Anemia'],Anemia,C0002871,1,1,0.0,0.0
