head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0879257,Hereditary Papillary Renal Cell Carcinoma,disease_may_have_finding,"['C0006663', 'C0016199', 'C0018965', 'C0333275', 'C1334928', 'C1336833', 'C1511113', 'C1511605', 'C1513751']","['Calcification', 'Flank Pain', 'Hematuria', 'Hemorrhagic Change', 'Necrotic Change', 'Tubular Pattern', 'Bilateral Disease', 'Cystic Change', 'Multiple Tumor Masses']",Calcification || Flank Pain || Hematuria || Hemorrhagic Change || Necrotic Change || Tubular Pattern || Bilateral Disease || Cystic Change || Multiple Tumor Masses,C0006663 || C0016199 || C0018965 || C0333275 || C1334928 || C1336833 || C1511113 || C1511605 || C1513751,9,9,0.0,0.0
C1318544,Acute Monocytic Leukemia,disease_may_have_finding,"['C0876991', 'C1334068', 'C1519790']","['Hemophagocytosis', 'Hypercellular Bone Marrow', 'Unfavorable Clinical Outcome']",Hemophagocytosis || Hypercellular Bone Marrow || Unfavorable Clinical Outcome,C0876991 || C1334068 || C1519790,3,3,0.0,0.0
C3273126,"Extrahepatic Bile Duct Adenocarcinoma, Biliary Type",disease_may_have_finding,"['C0000737', 'C0003123', 'C0022346', 'C0027497', 'C0033774', 'C0042963', 'C0231218', 'C1262477']","['Abdominal Pain', 'Anorexia', 'Jaundice', 'Nausea', 'Pruritus', 'Vomiting', 'Malaise', 'Weight Loss']",Abdominal Pain || Anorexia || Jaundice || Nausea || Pruritus || Vomiting || Malaise || Weight Loss,C0000737 || C0003123 || C0022346 || C0027497 || C0033774 || C0042963 || C0231218 || C1262477,8,8,0.0,0.0
C4743689,Transplant-Related Squamous Cell Carcinoma,disease_may_have_finding,['C1332223'],['Aggressive Clinical Course'],Aggressive Clinical Course,C1332223,1,1,0.0,0.0
C4707179,Acquired Cystic Disease-Associated Renal Cell Carcinoma,disease_may_have_finding,"['C0016199', 'C0018965', 'C1519183', 'C3273231']","['Flank Pain', 'Hematuria', 'Sarcomatoid Features', 'Calcium Oxalate Crystal Deposition']",Flank Pain || Hematuria || Sarcomatoid Features || Calcium Oxalate Crystal Deposition,C0016199 || C0018965 || C1519183 || C3273231,4,4,0.0,0.0
C0700110,Metastatic Carcinoma in the Bone,disease_may_have_finding,['C0016663'],['Pathologic Fracture'],Pathologic Fracture,C0016663,1,1,0.0,0.0
C1334242,Intracranial Liposarcoma,disease_may_have_finding,['C1711205'],['Painless Mass'],Painless Mass,C1711205,1,1,0.0,0.0
C0346416,Benign Paraganglioma,disease_may_have_finding,"['C1336770', 'C1709212']","['Trabecular Pattern', 'Nesting (Zellballen) Growth Pattern']",Trabecular Pattern || Nesting (Zellballen) Growth Pattern,C1336770 || C1709212,2,2,0.0,0.0
C5205731,Prostate Inflammatory Myofibroblastic Tumor,disease_may_have_finding,"['C0015967', 'C0030193', 'C1513744', 'C1517138', 'C1707398', 'C3642323']","['Fever', 'Pain', 'Multinodular Lesion', 'Fascicular Pattern', 'Well-Circumscribed Lesion', 'Myxoid Changes Present']",Fever || Pain || Multinodular Lesion || Fascicular Pattern || Well-Circumscribed Lesion || Myxoid Changes Present,C0015967 || C0030193 || C1513744 || C1517138 || C1707398 || C3642323,6,6,0.0,0.0
C1332890,Central Nervous System Paraganglioma,disease_may_have_finding,"['C1336770', 'C1709212']","['Trabecular Pattern', 'Nesting (Zellballen) Growth Pattern']",Trabecular Pattern || Nesting (Zellballen) Growth Pattern,C1336770 || C1709212,2,2,0.0,0.0
C0495107,Vulvar High Grade Squamous Intraepithelial Lesion,disease_may_have_finding,"['C0033774', 'C0332573', 'C1519353']","['Pruritus', 'Macular Lesion', 'Papular Lesion']",Pruritus || Macular Lesion || Papular Lesion,C0033774 || C0332573 || C1519353,3,3,0.0,0.1666666641666667
C3272800,Colorectal Microvesicular Hyperplastic Polyp,disease_may_have_finding,['C0577559'],['Mass'],Mass,C0577559,1,1,0.0,0.0
C1883722,Stage 0a Bladder Urothelial Carcinoma AJCC v6 and v7,disease_may_have_finding,['C0018965'],['Hematuria'],Hematuria,C0018965,1,1,0.0,0.0
C4744472,Chromophobe Renal Cell Carcinoma Associated with Birt-Hogg-Dube Syndrome,disease_may_have_finding,"['C0016199', 'C0018965']","['Flank Pain', 'Hematuria']",Flank Pain || Hematuria,C0016199 || C0018965,2,2,0.0,0.0
C5238249,Recurrent Diffuse Astrocytoma,disease_may_have_finding,"['C0006663', 'C0018681', 'C0036572', 'C1334804', 'C1335944']","['Calcification', 'Headache', 'Seizure', 'Motor Manifestations', 'Sensory Manifestations']",Calcification || Headache || Seizure || Motor Manifestations || Sensory Manifestations,C0006663 || C0018681 || C0036572 || C1334804 || C1335944,5,5,0.0,0.0
C1318551,Myelodysplastic Syndrome with Excess Blasts-2,disease_may_have_finding,"['C0221278', 'C0221281', 'C0392386', 'C1332354', 'C1334068', 'C1334838', 'C1334844', 'C1519790', 'C4551627']","['Anisocytosis', 'Poikilocytosis', 'Thrombocytopenia', 'Auer Rods Present', 'Hypercellular Bone Marrow', 'Myeloblasts 10-19 Percent of Bone Marrow Nucleated Cells', 'Myeloblasts 5-19 Percent of Peripheral Blood White Cells', 'Unfavorable Clinical Outcome', 'Granulocytopenia']",Anisocytosis || Poikilocytosis || Thrombocytopenia || Auer Rods Present || Hypercellular Bone Marrow || Myeloblasts 10-19 Percent of Bone Marrow Nucleated Cells || Myeloblasts 5-19 Percent of Peripheral Blood White Cells || Unfavorable Clinical Outcome || Granulocytopenia,C0221278 || C0221281 || C0392386 || C1332354 || C1334068 || C1334838 || C1334844 || C1519790 || C4551627,9,9,0.0,0.0
C4724959,Refractory Stage 0 Bladder Cancer AJCC v6 and v7,disease_may_have_finding,['C0018965'],['Hematuria'],Hematuria,C0018965,1,1,0.0,0.0
C5204611,Bladder Melanoma,disease_may_have_finding,"['C1708279', 'C1709978']","['HMB-45-Positive Neoplastic Cells Present', 'S-100-Positive Neoplastic Cells Present']",HMB-45-Positive Neoplastic Cells Present || S-100-Positive Neoplastic Cells Present,C1708279 || C1709978,2,2,0.0,0.0
C4289815,Cervical Atypical Carcinoid Tumor,disease_may_have_finding,"['C1334928', 'C1882073', 'C1883414']","['Necrotic Change', 'Neuron-Specific Enolase Positive Neoplastic Cells Present', 'Two to 10 Mitoses per 10HPF']",Necrotic Change || Neuron-Specific Enolase Positive Neoplastic Cells Present || Two to 10 Mitoses per 10HPF,C1334928 || C1882073 || C1883414,3,3,0.0,0.0
C1518871,Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma,disease_may_have_finding,"['C0000737', 'C0011849', 'C0022346', 'C0033774', 'C1262477']","['Abdominal Pain', 'Diabetes Mellitus', 'Jaundice', 'Pruritus', 'Weight Loss']",Abdominal Pain || Diabetes Mellitus || Jaundice || Pruritus || Weight Loss,C0000737 || C0011849 || C0022346 || C0033774 || C1262477,5,5,0.0,0.0
C4763842,"Metastatic Infiltrating Bladder Urothelial Carcinoma, Nested Variant",disease_may_have_finding,"['C0013428', 'C0018965', 'C0042023', 'C1332223']","['Dysuria', 'Hematuria', 'Urinary Frequency', 'Aggressive Clinical Course']",Dysuria || Hematuria || Urinary Frequency || Aggressive Clinical Course,C0013428 || C0018965 || C0042023 || C1332223,4,4,0.0,0.0
C4055498,Acute Lymphoblastic Leukemia by Gene Expression Profile,disease_may_have_finding,"['C0019209', 'C0497156']","['Hepatomegaly', 'Lymphadenopathy']",Hepatomegaly || Lymphadenopathy,C0019209 || C0497156,2,2,0.0,0.0
C2987260,Esophageal Neuroendocrine Tumor,disease_may_have_finding,['C0011168'],['Dysphagia'],Dysphagia,C0011168,1,1,0.0,0.0
C0023437,Acute Basophilic Leukemia,disease_may_have_finding,"['C0221204', 'C1334068', 'C1511567', 'C1519790']","['Lytic Bone Lesion', 'Hypercellular Bone Marrow', 'Cutaneous Involvement', 'Unfavorable Clinical Outcome']",Lytic Bone Lesion || Hypercellular Bone Marrow || Cutaneous Involvement || Unfavorable Clinical Outcome,C0221204 || C1334068 || C1511567 || C1519790,4,4,0.0,0.0
C1334749,Methotrexate-Associated Lymphoproliferative Disorder,disease_may_have_finding,"['C0497156', 'C1517068']","['Lymphadenopathy', 'Extranodal Disease']",Lymphadenopathy || Extranodal Disease,C0497156 || C1517068,2,2,0.0,0.0
C0278695,Recurrent Neuroblastoma,disease_may_have_finding,['C0019080'],['Hemorrhage'],Hemorrhage,C0019080,1,1,0.0,0.0
