head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1519369,"Anaplastic Large Cell Lymphoma, Sarcomatoid Subtype",disease_may_have_molecular_abnormality,"['C1516678', 'C1516679']","['Clonal T-Cell Receptor Beta Chain Gene Rearrangement', 'Clonal T-Cell Receptor Gamma Chain Gene Rearrangement']",Clonal T-Cell Receptor Beta Chain Gene Rearrangement || Clonal T-Cell Receptor Gamma Chain Gene Rearrangement,C1516678 || C1516679,2,2,0.0,0.0
C5207072,Refractory Colorectal Adenocarcinoma,disease_may_have_molecular_abnormality,"['C1511021', 'C1515171', 'C1515857', 'C1517648', 'C1711107']","['BRAF Gene Mutation', 'TP53 Gene Inactivation', 'APC Gene Inactivation', 'KRAS Gene Amplification', 'MYC Gene Mutation']",BRAF Gene Mutation || TP53 Gene Inactivation || APC Gene Inactivation || KRAS Gene Amplification || MYC Gene Mutation,C1511021 || C1515171 || C1515857 || C1517648 || C1711107,5,5,0.0,0.0
C5419205,Refractory Esophageal Squamous Cell Carcinoma,disease_may_have_molecular_abnormality,"['C0002938', 'C1511413', 'C1511430', 'C1512116', 'C1512323', 'C1512324', 'C1515171', 'C1515562', 'C1517095']","['Aneuploidy', 'CCND1 Gene Amplification', 'CDKN2A Gene Inactivation', 'EGFR Gene Amplification', 'FGF4 Gene Amplification', 'FGF6 Gene Amplification', 'TP53 Gene Inactivation', 'MYC Gene Amplification', 'FHIT Gene Inactivation']",Aneuploidy || CCND1 Gene Amplification || CDKN2A Gene Inactivation || EGFR Gene Amplification || FGF4 Gene Amplification || FGF6 Gene Amplification || TP53 Gene Inactivation || MYC Gene Amplification || FHIT Gene Inactivation,C0002938 || C1511413 || C1511430 || C1512116 || C1512323 || C1512324 || C1515171 || C1515562 || C1517095,9,9,0.0,0.0
C4725951,Metastatic Gastrointestinal Stromal Tumor,disease_may_have_molecular_abnormality,"['C1518782', 'C3266990']","['PDGFRA Gene Mutation', 'KIT Gene Mutation']",PDGFRA Gene Mutation || KIT Gene Mutation,C1518782 || C3266990,2,2,0.0,0.0
C1335303,Pancreatic Foamy Gland Adenocarcinoma,disease_may_have_molecular_abnormality,"['C1511024', 'C1511430', 'C1511706', 'C1512127', 'C1514641', 'C1515171', 'C1515843', 'C1517649', 'C1518126']","['BRCA2 Gene Mutation', 'CDKN2A Gene Inactivation', 'SMAD4/DPC4 Gene Inactivation', 'ERBB2 Gene Amplification', 'RB1 Gene Inactivation', 'TP53 Gene Inactivation', 'AKT2 Gene Amplification', 'KRAS Gene Mutation', 'MAP2K4 Gene Inactivation']",BRCA2 Gene Mutation || CDKN2A Gene Inactivation || SMAD4/DPC4 Gene Inactivation || ERBB2 Gene Amplification || RB1 Gene Inactivation || TP53 Gene Inactivation || AKT2 Gene Amplification || KRAS Gene Mutation || MAP2K4 Gene Inactivation,C1511024 || C1511430 || C1511706 || C1512127 || C1514641 || C1515171 || C1515843 || C1517649 || C1518126,9,9,0.0,0.0
C2987191,"Pancreatic Intraductal Papillary Mucinous Neoplasm, Gastric-Type",disease_may_have_molecular_abnormality,"['C1511021', 'C1515171', 'C1517649']","['BRAF Gene Mutation', 'TP53 Gene Inactivation', 'KRAS Gene Mutation']",BRAF Gene Mutation || TP53 Gene Inactivation || KRAS Gene Mutation,C1511021 || C1515171 || C1517649,3,3,0.0,0.0
C0334384,Ductal Breast Carcinoma In Situ and Invasive Lobular Carcinoma,disease_may_have_molecular_abnormality,"['C1511428', 'C1517998']","['CDH1 Gene Inactivation', 'Loss of E-cadherin Expression']",CDH1 Gene Inactivation || Loss of E-cadherin Expression,C1511428 || C1517998,2,2,0.0,0.0
C1333043,Chronic Myelomonocytic Leukemia-1,disease_may_have_molecular_abnormality,['C1513808'],['NRAS Gene Mutation'],NRAS Gene Mutation,C1513808,1,1,0.0,0.0
C5419867,Low Grade Pancreatic Intraepithelial Neoplasia,disease_may_have_molecular_abnormality,['C1517649'],['KRAS Gene Mutation'],KRAS Gene Mutation,C1517649,1,1,0.0,0.0
C4055021,FSH-Producing Gonadotroph Adenoma,disease_may_have_molecular_abnormality,['C1709556'],['Pituitary Tumor Transforming Gene Overexpression'],Pituitary Tumor Transforming Gene Overexpression,C1709556,1,1,0.0,0.0
