head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1335274,PTK6 Gene,gene_associated_with_disease,['C0678222'],['Breast Carcinoma'],Breast Carcinoma,C0678222,1,1,0.0,0.0
C1421505,NSD2 Gene,gene_associated_with_disease,['C1956097'],['Wolf-Hirschhorn Syndrome'],Wolf-Hirschhorn Syndrome,C1956097,1,1,0.0,0.0
C1710320,TPMT*V2 Allele,gene_associated_with_disease,['C0342801'],['Thiopurine Methyltransferase Deficiency'],Thiopurine Methyltransferase Deficiency,C0342801,1,1,0.0,0.0
C1336984,DCAF5 Gene,gene_associated_with_disease,['C0151995'],['Uterine Corpus Degenerated Leiomyoma'],Uterine Corpus Degenerated Leiomyoma,C0151995,1,1,0.0,0.0
C2825930,MIR124-1 wt Allele,gene_associated_with_disease,"['C0009402', 'C0017636', 'C0023418', 'C0025149', 'C0678222', 'C0684249']","['Colorectal Carcinoma', 'Glioblastoma', 'Leukemia', 'Medulloblastoma', 'Breast Carcinoma', 'Lung Carcinoma']",Colorectal Carcinoma || Glioblastoma || Leukemia || Medulloblastoma || Breast Carcinoma || Lung Carcinoma,C0009402 || C0017636 || C0023418 || C0025149 || C0678222 || C0684249,6,6,0.0,0.0
C1705928,NR3C2 wt Allele,gene_associated_with_disease,['C0020538'],['Hypertension'],Hypertension,C0020538,1,1,0.0,0.0
C1366587,MCL1 Gene,gene_associated_with_disease,['C0023434'],['Chronic Lymphocytic Leukemia'],Chronic Lymphocytic Leukemia,C0023434,1,1,0.0,0.0
C1706480,AGT wt Allele,gene_associated_with_disease,['C0085580'],['Essential Hypertension'],Essential Hypertension,C0085580,1,1,0.0,0.0
C1537814,MIR181B2 Gene,gene_associated_with_disease,"['C0023434', 'C0026764', 'C0677865']","['Chronic Lymphocytic Leukemia', 'Plasma Cell Myeloma', 'Brain Stem Glioma']",Chronic Lymphocytic Leukemia || Plasma Cell Myeloma || Brain Stem Glioma,C0023434 || C0026764 || C0677865,3,3,0.0,0.0
C1706333,ITGB2 wt Allele,gene_associated_with_disease,['C0272187'],['Leukocyte Adhesion Deficiency'],Leukocyte Adhesion Deficiency,C0272187,1,1,0.0,0.0
C1366562,ITGAM Gene,gene_associated_with_disease,['C0398738'],['Leukocyte Adhesion Deficiency Type 1'],Leukocyte Adhesion Deficiency Type 1,C0398738,1,1,0.0,0.0
C1826064,MIR510 Gene,gene_associated_with_disease,['C0678222'],['Breast Carcinoma'],Breast Carcinoma,C0678222,1,1,0.0,0.0
C1332431,BMPR2 Gene,gene_associated_with_disease,['C0020542'],['Pulmonary Hypertension'],Pulmonary Hypertension,C0020542,1,1,0.0,0.0
C1710598,VDR wt Allele,gene_associated_with_disease,['C0035579'],['Rickets'],Rickets,C0035579,1,1,0.0,0.0
C1537919,MIRLET7G Gene,gene_associated_with_disease,"['C0684249', 'C4721610']","['Lung Carcinoma', 'Ovarian Carcinoma']",Lung Carcinoma || Ovarian Carcinoma,C0684249 || C4721610,2,2,0.0,0.0
C1419244,RAD54L Gene,gene_associated_with_disease,"['C0024305', 'C0338106', 'C0678222']","['Non-Hodgkin Lymphoma', 'Colon Adenocarcinoma', 'Breast Carcinoma']",Non-Hodgkin Lymphoma || Colon Adenocarcinoma || Breast Carcinoma,C0024305 || C0338106 || C0678222,3,3,0.0,0.0
C1334510,MLANA Gene,gene_associated_with_disease,"['C0025202', 'C0042900']","['Melanoma', 'Vitiligo']",Melanoma || Vitiligo,C0025202 || C0042900,2,2,0.0,0.0
C2828055,FANCE wt Allele,gene_associated_with_disease,['C0015625'],['Fanconi Anemia'],Fanconi Anemia,C0015625,1,1,0.0,0.0
C1704853,NUP98 wt Allele,gene_associated_with_disease,"['C0023449', 'C0023467']","['Acute Lymphoblastic Leukemia', 'Acute Myeloid Leukemia']",Acute Lymphoblastic Leukemia || Acute Myeloid Leukemia,C0023449 || C0023467,2,2,0.0,0.0
C1334351,LTBP2 Gene,gene_associated_with_disease,['C0025202'],['Melanoma'],Melanoma,C0025202,1,1,0.0,0.0
C1415478,HBA2 Gene,gene_associated_with_disease,['C0002312'],['Alpha Thalassemia'],Alpha Thalassemia,C0002312,1,1,0.0,0.0
C1332741,CDR1 Gene,gene_associated_with_disease,"['C0004364', 'C0393534']","['Autoimmune Disease', 'Paraneoplastic Cerebellar Degeneration']",Autoimmune Disease || Paraneoplastic Cerebellar Degeneration,C0004364 || C0393534,2,2,0.0,0.0
C1332732,CDK2AP1 Gene,gene_associated_with_disease,['C0153381'],['Malignant Oral Neoplasm'],Malignant Oral Neoplasm,C0153381,1,1,0.0,0.0
C2825816,MIR29A wt Allele,gene_associated_with_disease,"['C0002395', 'C0011860', 'C0684249']","[""Alzheimer's Disease"", 'Type 2 Diabetes Mellitus', 'Lung Carcinoma']",Alzheimer's Disease || Type 2 Diabetes Mellitus || Lung Carcinoma,C0002395 || C0011860 || C0684249,3,3,0.0,0.0
C1705392,BCAR3 wt Allele,gene_associated_with_disease,['C0678222'],['Breast Carcinoma'],Breast Carcinoma,C0678222,1,1,0.0,0.0
C2983377,SNCA wt Allele,gene_associated_with_disease,"['C0002395', 'C0030567', 'C0752347']","[""Alzheimer's Disease"", ""Parkinson's Disease"", 'Lewy Body Dementia']",Alzheimer's Disease || Parkinson's Disease || Lewy Body Dementia,C0002395 || C0030567 || C0752347,3,3,0.0,0.0
C1537734,MIR29B2 Gene,gene_associated_with_disease,"['C0002395', 'C0011860', 'C0023434', 'C0023467', 'C0035412', 'C0206698', 'C0684249']","[""Alzheimer's Disease"", 'Type 2 Diabetes Mellitus', 'Chronic Lymphocytic Leukemia', 'Acute Myeloid Leukemia', 'Rhabdomyosarcoma', 'Cholangiocarcinoma', 'Lung Carcinoma']",Alzheimer's Disease || Type 2 Diabetes Mellitus || Chronic Lymphocytic Leukemia || Acute Myeloid Leukemia || Rhabdomyosarcoma || Cholangiocarcinoma || Lung Carcinoma,C0002395 || C0011860 || C0023434 || C0023467 || C0035412 || C0206698 || C0684249,7,7,0.0,0.0
C1420650,TCL1A Gene,gene_associated_with_disease,['C0023494'],['T-Cell Chronic Lymphocytic Leukemia'],T-Cell Chronic Lymphocytic Leukemia,C0023494,1,1,0.0,0.0
C1705546,ABI1 wt Allele,gene_associated_with_disease,['C0023467'],['Acute Myeloid Leukemia'],Acute Myeloid Leukemia,C0023467,1,1,0.0,0.0
C1538172,ZFYVE9 Gene,gene_associated_with_disease,['C0002395'],"[""Alzheimer's Disease""]",Alzheimer's Disease,C0002395,1,1,0.0,0.0
C1332424,BMP2 Gene,gene_associated_with_disease,['C0016037'],['Fibrodysplasia Ossificans Progressiva'],Fibrodysplasia Ossificans Progressiva,C0016037,1,1,0.0,0.0
C1823405,ORAI1 Gene,gene_associated_with_disease,['C0085110'],['Severe Combined Immunodeficiency'],Severe Combined Immunodeficiency,C0085110,1,1,0.0,0.0
C2825792,MIR15B wt Allele,gene_associated_with_disease,['C0023434'],['Chronic Lymphocytic Leukemia'],Chronic Lymphocytic Leukemia,C0023434,1,1,0.0,0.0
C1705397,GLI3 wt Allele,gene_associated_with_disease,['C0265306'],['Greig Syndrome'],Greig Syndrome,C0265306,1,1,0.0,0.0
C0694872,CDH1 Gene,gene_associated_with_disease,"['C0009402', 'C4721610']","['Colorectal Carcinoma', 'Ovarian Carcinoma']",Colorectal Carcinoma || Ovarian Carcinoma,C0009402 || C4721610,2,2,0.0,0.0
C1366496,CYP19A1 Gene,gene_associated_with_disease,"['C0014175', 'C0018418']","['Endometriosis', 'Gynecomastia']",Endometriosis || Gynecomastia,C0014175 || C0018418,2,2,0.0,0.0
C0879468,CSF1R Gene,gene_associated_with_disease,['C2939461'],['Myeloid Neoplasm'],Myeloid Neoplasm,C2939461,1,1,0.0,0.0
C1706034,IL7R wt Allele,gene_associated_with_disease,['C0085110'],['Severe Combined Immunodeficiency'],Severe Combined Immunodeficiency,C0085110,1,1,0.0,0.0
