head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1427959,CENPS Gene,gene_encodes_gene_product,['C1528983'],['Centromere Protein S'],Centromere Protein S,C1528983,1,1,0.0,0.0
C1537922,MRTFB Gene,gene_encodes_gene_product,['C1312353'],['Myocardin-Related Transcription Factor B'],Myocardin-Related Transcription Factor B,C1312353,1,1,0.0,0.0
C1334868,NCOA3 Gene,gene_encodes_gene_product,['C0663204'],['Nuclear Receptor Coactivator 3'],Nuclear Receptor Coactivator 3,C0663204,1,1,0.0,0.0
C1423063,SIRT3 Gene,gene_encodes_gene_product,['C2709268'],"['NAD-Dependent Deacetylase Sirtuin-3, Mitochondrial']","NAD-Dependent Deacetylase Sirtuin-3, Mitochondrial",C2709268,1,1,0.0,0.0
C1428688,CHCHD7 Gene,gene_encodes_gene_product,['C3275274'],['Coiled-Coil-Helix-Coiled-Coil-Helix Domain-Containing Protein 7'],Coiled-Coil-Helix-Coiled-Coil-Helix Domain-Containing Protein 7,C3275274,1,1,0.0,0.0
C1415362,GUCY1B1 Gene,gene_encodes_gene_product,['C1519420'],['Guanylate Cyclase Soluble Subunit Beta-1'],Guanylate Cyclase Soluble Subunit Beta-1,C1519420,1,1,0.0,0.0
C1419945,SEMA3D Gene,gene_encodes_gene_product,['C3883862'],['Semaphorin-3D'],Semaphorin-3D,C3883862,1,1,0.0,0.0
C1413869,CYP2A7 Gene,gene_encodes_gene_product,['C3711338'],['Cytochrome P450 2A7'],Cytochrome P450 2A7,C3711338,1,1,0.0,0.0
C1367469,HPSE Gene,gene_encodes_gene_product,['C0062505'],['Heparanase'],Heparanase,C0062505,1,1,0.0,0.0
C1420172,SLC2A2 Gene,gene_encodes_gene_product,['C0174599'],"['Solute Carrier Family 2, Facilitated Glucose Transporter Member 2']","Solute Carrier Family 2, Facilitated Glucose Transporter Member 2",C0174599,1,1,0.0,0.0
C1413896,CCN1 Gene,gene_encodes_gene_product,['C1137456'],['CCN Family Member 1'],CCN Family Member 1,C1137456,1,1,0.0,0.0
C1425495,SCGB1D2 Gene,gene_encodes_gene_product,['C1434618'],['Secretoglobin Family 1D Member 2'],Secretoglobin Family 1D Member 2,C1434618,1,1,0.0,0.0
C1332074,AKT3 Gene,gene_encodes_gene_product,['C1454182'],['RAC-Gamma Serine/Threonine Kinase'],RAC-Gamma Serine/Threonine Kinase,C1454182,1,1,0.0,0.0
C1825790,LARP4B Gene,gene_encodes_gene_product,['C4554237'],['La-Related Protein 4B'],La-Related Protein 4B,C4554237,1,1,0.0,0.0
C1334348,VWA5A Gene,gene_encodes_gene_product,['C1332406'],['von Willebrand Factor A Domain-Containing Protein 5A'],von Willebrand Factor A Domain-Containing Protein 5A,C1332406,1,1,0.0,0.0
C1417820,NR0B1 Gene,gene_encodes_gene_product,['C1610185'],['Nuclear Receptor Subfamily 0 Group B Member 1'],Nuclear Receptor Subfamily 0 Group B Member 1,C1610185,1,1,0.0,0.0
C1420122,SLC1A4 Gene,gene_encodes_gene_product,['C3641923'],['Neutral Amino Acid Transporter A'],Neutral Amino Acid Transporter A,C3641923,1,1,0.0,0.0
C1335624,RIPK2 Gene,gene_encodes_gene_product,['C1447644'],['Receptor-Interacting Serine/Threonine-Protein Kinase 2'],Receptor-Interacting Serine/Threonine-Protein Kinase 2,C1447644,1,1,0.0,0.0
C1332792,CSF3R Gene,gene_encodes_gene_product,['C0080090'],['Granulocyte Colony-Stimulating Factor Receptor'],Granulocyte Colony-Stimulating Factor Receptor,C0080090,1,1,0.0,0.0
C2680426,SNRNP25 Gene,gene_encodes_gene_product,['C4521272'],['U11/U12 Small Nuclear Ribonucleoprotein 25 kDa Protein'],U11/U12 Small Nuclear Ribonucleoprotein 25 kDa Protein,C4521272,1,1,0.0,0.0
C1422073,BRD4 Gene,gene_encodes_gene_product,['C1448198'],['Bromodomain-Containing Protein 4'],Bromodomain-Containing Protein 4,C1448198,1,1,0.0,0.0
C1423043,NIN Gene,gene_encodes_gene_product,['C3275248'],['Ninein'],Ninein,C3275248,1,1,0.0,0.0
C1419150,PXN Gene,gene_encodes_gene_product,['C1565440'],['Paxillin'],Paxillin,C1565440,1,1,0.0,0.0
C0879468,CSF1R Gene,gene_encodes_gene_product,['C4082532'],['Macrophage Colony-Stimulating Factor 1 Receptor'],Macrophage Colony-Stimulating Factor 1 Receptor,C4082532,1,1,0.0,0.0
C1413430,CITED2 Gene,gene_encodes_gene_product,['C1436100'],['Cbp/p300-Interacting Transactivator 2'],Cbp/p300-Interacting Transactivator 2,C1436100,1,1,0.0,0.0
C1413405,CHRNA5 Gene,gene_encodes_gene_product,['C2698454'],['Neuronal Acetylcholine Receptor Subunit Alpha-5'],Neuronal Acetylcholine Receptor Subunit Alpha-5,C2698454,1,1,0.0,0.0
C1412457,APBA2 Gene,gene_encodes_gene_product,['C3538960'],['Amyloid Beta A4 Precursor Protein-Binding Family A Member 2'],Amyloid Beta A4 Precursor Protein-Binding Family A Member 2,C3538960,1,1,0.0,0.0
C1335276,PTK7 Gene,gene_encodes_gene_product,['C0384197'],['Inactive Tyrosine-Protein Kinase 7'],Inactive Tyrosine-Protein Kinase 7,C0384197,1,1,0.0,0.0
C1418946,PROM1 Gene,gene_encodes_gene_product,['C0673026'],['Prominin-1'],Prominin-1,C0673026,1,1,0.0,0.0
C1334119,IL4 Gene,gene_encodes_gene_product,['C1701589'],['Interleukin-4'],Interleukin-4,C1701589,1,1,0.0,0.0
C1414258,S1PR4 Gene,gene_encodes_gene_product,['C3541911'],['Sphingosine 1-Phosphate Receptor 4'],Sphingosine 1-Phosphate Receptor 4,C3541911,1,1,0.0,0.0
C1421540,XPC Gene,gene_encodes_gene_product,['C3273670'],['DNA Repair Protein Complementing XP-C Cells'],DNA Repair Protein Complementing XP-C Cells,C3273670,1,1,0.0,0.0
C3471356,PCAT1 Gene,gene_encodes_gene_product,['C4320086'],['Prostate Cancer Associated Transcript 1'],Prostate Cancer Associated Transcript 1,C4320086,1,1,0.0,0.0
C1423613,ARHGEF7 Gene,gene_encodes_gene_product,['C3275251'],['Rho Guanine Nucleotide Exchange Factor 7'],Rho Guanine Nucleotide Exchange Factor 7,C3275251,1,1,0.0,0.0
C1425241,IL17RB Gene,gene_encodes_gene_product,['C1706285'],['Interleukin-17 Receptor B'],Interleukin-17 Receptor B,C1706285,1,1,0.0,0.0
C1335225,PLCB3 Gene,gene_encodes_gene_product,['C1377871'],"['1-Phosphatidylinositol 4,5-Bisphosphate Phosphodiesterase Beta-3']","1-Phosphatidylinositol 4,5-Bisphosphate Phosphodiesterase Beta-3",C1377871,1,1,0.0,0.0
C1423088,RBM15 Gene,gene_encodes_gene_product,['C0968086'],['Putative RNA-Binding Protein 15'],Putative RNA-Binding Protein 15,C0968086,1,1,0.0,0.0
C1415194,GPC2 Gene,gene_encodes_gene_product,['C4085631'],['Glypican-2'],Glypican-2,C4085631,1,1,0.0,0.0
C1425827,CREB3L1 Gene,gene_encodes_gene_product,['C1436650'],['Cyclic AMP-Responsive Element-Binding Protein 3-Like Protein 1'],Cyclic AMP-Responsive Element-Binding Protein 3-Like Protein 1,C1436650,1,1,0.0,0.0
C1421500,WEE1 Gene,gene_encodes_gene_product,['C1506818'],['Wee1-Like Protein Kinase'],Wee1-Like Protein Kinase,C1506818,1,1,0.0,0.0
C1332795,CSNK1A1 Gene,gene_encodes_gene_product,['C1332857'],['Casein Kinase I Isoform Alpha'],Casein Kinase I Isoform Alpha,C1332857,1,1,0.0,0.0
C1416786,LAMC2 Gene,gene_encodes_gene_product,['C0910226'],['Laminin Subunit Gamma-2'],Laminin Subunit Gamma-2,C0910226,1,1,0.0,0.0
C1416790,LAMP2 Gene,gene_encodes_gene_product,['C1563373'],['Lysosome-Associated Membrane Glycoprotein 2'],Lysosome-Associated Membrane Glycoprotein 2,C1563373,1,1,0.0,0.0
