head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0018664,Glycoprotein Hormones Alpha Chain Protein,gene_product_encoded_by_gene,"['C1335375', 'C1413366']","['Peptide Hormone Gene', 'CGA Gene']",Peptide Hormone Gene || CGA Gene,C1335375 || C1413366,2,2,0.0,0.0
C3849253,Neuroendocrine Convertase 1,gene_product_encoded_by_gene,"['C1333402', 'C1334064', 'C1335528', 'C1418388']","['Enzyme Gene', 'Hydrolase Gene', 'Peptidase Gene', 'PCSK1 Gene']",Enzyme Gene || Hydrolase Gene || Peptidase Gene || PCSK1 Gene,C1333402 || C1334064 || C1335528 || C1418388,4,4,0.0,0.0
C1332106,Sister Chromatid Cohesion Protein PDS5 Homolog B,gene_product_encoded_by_gene,"['C0017362', 'C0243037', 'C1332105']","['Regulatory Gene', 'Cell Cycle Gene', 'PDS5B Gene']",Regulatory Gene || Cell Cycle Gene || PDS5B Gene,C0017362 || C0243037 || C1332105,3,3,0.0,0.0
C0146524,Spermatid Nuclear Transition Protein 1,gene_product_encoded_by_gene,"['C0017362', 'C1420830']","['Regulatory Gene', 'TNP1 Gene']",Regulatory Gene || TNP1 Gene,C0017362 || C1420830,2,2,0.0,0.0
C2716213,Pogo Transposable Element With ZNF Domain,gene_product_encoded_by_gene,"['C0017362', 'C0243037', 'C1425785']","['Regulatory Gene', 'Cell Cycle Gene', 'POGZ Gene']",Regulatory Gene || Cell Cycle Gene || POGZ Gene,C0017362 || C0243037 || C1425785,3,3,0.0,0.0
C4723712,Endoribonuclease ZC3H12A,gene_product_encoded_by_gene,"['C1333398', 'C1333402', 'C1333471', 'C1334064', 'C1335782', 'C1823924']","['Endoribonuclease Gene', 'Enzyme Gene', 'Esterase Gene', 'Hydrolase Gene', 'Ribonuclease Gene', 'ZC3H12A Gene']",Endoribonuclease Gene || Enzyme Gene || Esterase Gene || Hydrolase Gene || Ribonuclease Gene || ZC3H12A Gene,C1333398 || C1333402 || C1333471 || C1334064 || C1335782 || C1823924,6,6,0.0,0.16666666500000002
C3887583,CD40 Ligand,gene_product_encoded_by_gene,"['C1333196', 'C1336836', 'C1539082']","['Cytokine Gene', 'Tumor Necrosis Factor Family Gene', 'CD40LG Gene']",Cytokine Gene || Tumor Necrosis Factor Family Gene || CD40LG Gene,C1333196 || C1336836 || C1539082,3,3,0.0,0.0
C4282114,Bcl-2-Like Protein 11,gene_product_encoded_by_gene,"['C0017362', 'C1332324', 'C1337096']","['Regulatory Gene', 'Apoptosis Regulation Gene', 'BCL2L11 Gene']",Regulatory Gene || Apoptosis Regulation Gene || BCL2L11 Gene,C0017362 || C1332324 || C1337096,3,3,0.0,0.0
C4727027,BCL-2 Family Protein,gene_product_encoded_by_gene,['C1332391'],['BCL-2 Gene Family'],BCL-2 Gene Family,C1332391,1,1,0.0,0.6666666616666668
C1335669,RecQ Helicase Family Protein,gene_product_encoded_by_gene,"['C1333402', 'C1333949', 'C1334064']","['Enzyme Gene', 'Helicase Gene', 'Hydrolase Gene']",Enzyme Gene || Helicase Gene || Hydrolase Gene,C1333402 || C1333949 || C1334064,3,3,0.0,0.11111110962962965
C3657408,Neuropilin-2,gene_product_encoded_by_gene,"['C1334396', 'C1335671', 'C1417850']","['Ligand Binding Protein Gene', 'Receptor Gene', 'NRP2 Gene']",Ligand Binding Protein Gene || Receptor Gene || NRP2 Gene,C1334396 || C1335671 || C1417850,3,3,0.0,0.0
C1366678,Origin Recognition Complex Subunit 3,gene_product_encoded_by_gene,"['C0017362', 'C0243037', 'C1335085']","['Regulatory Gene', 'Cell Cycle Gene', 'ORC3 Gene']",Regulatory Gene || Cell Cycle Gene || ORC3 Gene,C0017362 || C0243037 || C1335085,3,3,0.0,0.0
C1447137,Zinc Finger Homeobox Protein 3,gene_product_encoded_by_gene,"['C0017362', 'C0812327', 'C1412611', 'C1710463']","['Regulatory Gene', 'Transcription Factor Gene', 'ZFHX3 Gene', 'Transcription Regulation Gene']",Regulatory Gene || Transcription Factor Gene || ZFHX3 Gene || Transcription Regulation Gene,C0017362 || C0812327 || C1412611 || C1710463,4,4,0.0,0.0
C0006631,Cadherin,gene_product_encoded_by_gene,"['C1332870', 'C1334396']","['Cell Adhesion Molecule Gene', 'Ligand Binding Protein Gene']",Cell Adhesion Molecule Gene || Ligand Binding Protein Gene,C1332870 || C1334396,2,2,0.0,0.0
C1568204,Interferon Alpha/Beta Receptor 1,gene_product_encoded_by_gene,"['C1333197', 'C1334081', 'C1334396', 'C1335671']","['Cytokine Receptor Gene', 'IFNAR1 Gene', 'Ligand Binding Protein Gene', 'Receptor Gene']",Cytokine Receptor Gene || IFNAR1 Gene || Ligand Binding Protein Gene || Receptor Gene,C1333197 || C1334081 || C1334396 || C1335671,4,4,0.0,0.1547619024263039
