head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0018664,Glycoprotein Hormones Alpha Chain Protein,gene_product_encoded_by_gene,"['C1335375', 'C1413366']","['Peptide Hormone Gene', 'CGA Gene']",Peptide Hormone Gene || CGA Gene,C1335375 || C1413366,2,2,0.0,0.0
C3849253,Neuroendocrine Convertase 1,gene_product_encoded_by_gene,"['C1333402', 'C1334064', 'C1335528', 'C1418388']","['Enzyme Gene', 'Hydrolase Gene', 'Peptidase Gene', 'PCSK1 Gene']",Enzyme Gene || Hydrolase Gene || Peptidase Gene || PCSK1 Gene,C1333402 || C1334064 || C1335528 || C1418388,4,4,0.0,0.0
C1332106,Sister Chromatid Cohesion Protein PDS5 Homolog B,gene_product_encoded_by_gene,"['C0017362', 'C0243037', 'C1332105']","['Regulatory Gene', 'Cell Cycle Gene', 'PDS5B Gene']",Regulatory Gene || Cell Cycle Gene || PDS5B Gene,C0017362 || C0243037 || C1332105,3,3,0.0,0.0
C0146524,Spermatid Nuclear Transition Protein 1,gene_product_encoded_by_gene,"['C0017362', 'C1420830']","['Regulatory Gene', 'TNP1 Gene']",Regulatory Gene || TNP1 Gene,C0017362 || C1420830,2,2,0.0,0.0
C2716213,Pogo Transposable Element With ZNF Domain,gene_product_encoded_by_gene,"['C0017362', 'C0243037', 'C1425785']","['Regulatory Gene', 'Cell Cycle Gene', 'POGZ Gene']",Regulatory Gene || Cell Cycle Gene || POGZ Gene,C0017362 || C0243037 || C1425785,3,3,0.0,0.0
C3887583,CD40 Ligand,gene_product_encoded_by_gene,"['C1333196', 'C1336836', 'C1539082']","['Cytokine Gene', 'Tumor Necrosis Factor Family Gene', 'CD40LG Gene']",Cytokine Gene || Tumor Necrosis Factor Family Gene || CD40LG Gene,C1333196 || C1336836 || C1539082,3,3,0.0,0.0
C4282114,Bcl-2-Like Protein 11,gene_product_encoded_by_gene,"['C0017362', 'C1332324', 'C1337096']","['Regulatory Gene', 'Apoptosis Regulation Gene', 'BCL2L11 Gene']",Regulatory Gene || Apoptosis Regulation Gene || BCL2L11 Gene,C0017362 || C1332324 || C1337096,3,3,0.0,0.0
C3657408,Neuropilin-2,gene_product_encoded_by_gene,"['C1334396', 'C1335671', 'C1417850']","['Ligand Binding Protein Gene', 'Receptor Gene', 'NRP2 Gene']",Ligand Binding Protein Gene || Receptor Gene || NRP2 Gene,C1334396 || C1335671 || C1417850,3,3,0.0,0.0
C1366678,Origin Recognition Complex Subunit 3,gene_product_encoded_by_gene,"['C0017362', 'C0243037', 'C1335085']","['Regulatory Gene', 'Cell Cycle Gene', 'ORC3 Gene']",Regulatory Gene || Cell Cycle Gene || ORC3 Gene,C0017362 || C0243037 || C1335085,3,3,0.0,0.0
C1447137,Zinc Finger Homeobox Protein 3,gene_product_encoded_by_gene,"['C0017362', 'C0812327', 'C1412611', 'C1710463']","['Regulatory Gene', 'Transcription Factor Gene', 'ZFHX3 Gene', 'Transcription Regulation Gene']",Regulatory Gene || Transcription Factor Gene || ZFHX3 Gene || Transcription Regulation Gene,C0017362 || C0812327 || C1412611 || C1710463,4,4,0.0,0.0
C0006631,Cadherin,gene_product_encoded_by_gene,"['C1332870', 'C1334396']","['Cell Adhesion Molecule Gene', 'Ligand Binding Protein Gene']",Cell Adhesion Molecule Gene || Ligand Binding Protein Gene,C1332870 || C1334396,2,2,0.0,0.0
C1438417,Glypican-6,gene_product_encoded_by_gene,"['C1334396', 'C1415198']","['Ligand Binding Protein Gene', 'GPC6 Gene']",Ligand Binding Protein Gene || GPC6 Gene,C1334396 || C1415198,2,2,0.0,0.0
C3714923,Neuromedin-C,gene_product_encoded_by_gene,"['C1333714', 'C1335375']","['GRP Gene', 'Peptide Hormone Gene']",GRP Gene || Peptide Hormone Gene,C1333714 || C1335375,2,2,0.0,0.0
C0301733,Hemoglobin Subunit Epsilon,gene_product_encoded_by_gene,"['C1334396', 'C1336818', 'C1415484']","['Ligand Binding Protein Gene', 'Transport Protein Gene', 'HBE1 Gene']",Ligand Binding Protein Gene || Transport Protein Gene || HBE1 Gene,C1334396 || C1336818 || C1415484,3,3,0.0,0.0
C0769218,Suppressor of Tumorigenicity 14 Protein,gene_product_encoded_by_gene,"['C1333402', 'C1334064', 'C1335528', 'C1366520']","['Enzyme Gene', 'Hydrolase Gene', 'Peptidase Gene', 'ST14 Gene']",Enzyme Gene || Hydrolase Gene || Peptidase Gene || ST14 Gene,C1333402 || C1334064 || C1335528 || C1366520,4,4,0.0,0.0
C4553973,Nuclear Pore Complex-Interacting Protein Family Member B8,gene_product_encoded_by_gene,"['C0017362', 'C3812024']","['Regulatory Gene', 'NPIPB8 Gene']",Regulatory Gene || NPIPB8 Gene,C0017362 || C3812024,2,2,0.0,0.0
