head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0282651,Selectin,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C2354682,Frizzled-8,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C1566807,Mothers Against Decapentaplegic Homolog 5,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C3899962,BTC Gene Product,gene_product_has_associated_anatomy,['C0015352'],['Extracellular Space'],Extracellular Space,C0015352,1,1,0.0,0.0
C1332653,C-X-C Chemokine Receptor Type 6,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C0755533,Fibroblast Growth Factor 18,gene_product_has_associated_anatomy,['C0015352'],['Extracellular Space'],Extracellular Space,C0015352,1,1,0.0,0.0
C0294276,Epithelial Discoidin Domain-Containing Receptor 1,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C4330732,NFKB1 Gene Product,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C1504636,DNA Topoisomerase 2-Beta,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C3815898,T-Box Transcription Factor TBX4,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C1448189,Barttin,gene_product_has_associated_anatomy,"['C0007603', 'C0022009', 'C3161472']","['Plasma Membrane', 'Ion Channel', 'Cellular Membrane']",Plasma Membrane || Ion Channel || Cellular Membrane,C0007603 || C0022009 || C3161472,3,3,0.0,0.0
C0250373,Myocyte-Specific Enhancer Factor 2D,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C0667316,Afadin,gene_product_has_associated_anatomy,"['C0010853', 'C0230613']","['Cytoskeleton', 'Zonula Adherens']",Cytoskeleton || Zonula Adherens,C0010853 || C0230613,2,2,0.0,0.0
C1435016,U2 Small Nuclear Ribonucleoprotein Auxiliary Factor 35 kDa Subunit-Related Protein 2,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C3815137,Probable ATP-Dependent RNA Helicase DDX52,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C4082295,Metabotropic Glutamate Receptor 1,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C2981622,Neurofilament Medium Polypeptide,gene_product_has_associated_anatomy,"['C0010853', 'C0021770', 'C0027834']","['Cytoskeleton', 'Intermediate Filament', 'Neurofilament']",Cytoskeleton || Intermediate Filament || Neurofilament,C0010853 || C0021770 || C0027834,3,3,0.0,0.1666666654166667
C2986601,Transient Receptor Potential Cation Channel Subfamily V Member 6,gene_product_has_associated_anatomy,"['C0017189', 'C0022009', 'C3161472']","['Gastrointestinal Tract', 'Ion Channel', 'Cellular Membrane']",Gastrointestinal Tract || Ion Channel || Cellular Membrane,C0017189 || C0022009 || C3161472,3,3,0.0,0.060606059614325074
C3810534,Ephrin-B2,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C1257646,Serum Paraoxonase/Arylesterase 1,gene_product_has_associated_anatomy,['C0015352'],['Extracellular Space'],Extracellular Space,C0015352,1,1,0.0,0.0
C4723717,UMP-CMP Kinase,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C1435775,Protein Wnt-10a,gene_product_has_associated_anatomy,['C0015352'],['Extracellular Space'],Extracellular Space,C0015352,1,1,0.0,0.0
C1701550,Interleukin-1 Receptor Type 2,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C1527442,Interleukin Enhancer-Binding Factor 2,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C0145464,Transcription Factor E3,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C4724753,Histone H3-Like Centromeric Protein A,gene_product_has_associated_anatomy,"['C0007610', 'C0007709', 'C0008546', 'C0028623', 'C1383501', 'C1518457']","['Nucleus', 'Centromere', 'Chromatin', 'Nucleosome', 'Cytosol', 'Nucleosome Core Particle']",Nucleus || Centromere || Chromatin || Nucleosome || Cytosol || Nucleosome Core Particle,C0007610 || C0007709 || C0008546 || C0028623 || C1383501 || C1518457,6,6,0.0,0.0
C0147139,Thrombospondin-1,gene_product_has_associated_anatomy,['C0015350'],['Extracellular Matrix'],Extracellular Matrix,C0015350,1,1,0.0,0.0
C1452363,F-Box Only Protein 5,gene_product_has_associated_anatomy,['C0026046'],['Microtubule'],Microtubule,C0026046,1,1,0.0,0.0
C4761373,Small Integral Membrane Protein 5,gene_product_has_associated_anatomy,['C3161472'],['Cellular Membrane'],Cellular Membrane,C3161472,1,1,0.0,0.2857142816326531
C1436542,Glutathione Peroxidase 3,gene_product_has_associated_anatomy,['C0015352'],['Extracellular Space'],Extracellular Space,C0015352,1,1,0.0,0.0
C0764082,FGFR1 Oncogene Partner,gene_product_has_associated_anatomy,['C0242608'],['Centrosome'],Centrosome,C0242608,1,1,0.0,0.0
C0675313,ETS Homologous Factor,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C0034806,Follicle-Stimulating Hormone Receptor,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C5202567,Krueppel-Like Factor 3,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C1435681,Homeobox Protein MSX-1,gene_product_has_associated_anatomy,['C0007610'],['Nucleus'],Nucleus,C0007610,1,1,0.0,0.0
C0300061,Centromere Protein F,gene_product_has_associated_anatomy,['C0028581'],['Nuclear Matrix'],Nuclear Matrix,C0028581,1,1,0.0,0.0
C1333344,Epidermal Growth Factor Receptor Kinase Pathway Substrate 8-Like Protein 1,gene_product_has_associated_anatomy,['C0230613'],['Zonula Adherens'],Zonula Adherens,C0230613,1,1,0.0,0.0
C0252032,Tyrosine-Protein Kinase Receptor TYRO3,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C4521276,Maternal Embryonic Leucine Zipper Kinase,gene_product_has_associated_anatomy,['C0007603'],['Plasma Membrane'],Plasma Membrane,C0007603,1,1,0.0,0.0
C1141015,Adenosine Nucleotide Transporter,gene_product_has_associated_anatomy,['C3161472'],['Cellular Membrane'],Cellular Membrane,C3161472,1,1,0.0,0.0
C3712803,Insulin-Like Growth Factor I,gene_product_has_associated_anatomy,['C0015352'],['Extracellular Space'],Extracellular Space,C0015352,1,1,0.0,0.0
C1100024,Interleukin-25,gene_product_has_associated_anatomy,['C0015352'],['Extracellular Space'],Extracellular Space,C0015352,1,1,0.0,0.0
C0537987,Mucin-5B,gene_product_has_associated_anatomy,"['C0015352', 'C0026727']","['Extracellular Space', 'Mucus']",Extracellular Space || Mucus,C0015352 || C0026727,2,2,0.0,0.0
