head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1431711,Fibroblast Growth Factor 19,gene_product_has_biochemical_function,['C0599765'],['Heparin Binding Growth Factor'],Heparin Binding Growth Factor,C0599765,1,1,0.0,0.4999999950000001
C1505266,Tumor Suppressor p53-Binding Protein 1,gene_product_has_biochemical_function,['C0815047'],['Regulatory Protein'],Regulatory Protein,C0815047,1,1,0.0,0.2857142816326531
C1333649,G(i) Alpha,gene_product_has_biochemical_function,['C1333999'],['Heterotrimeric G Protein Subunit'],Heterotrimeric G Protein Subunit,C1333999,1,1,0.0,0.0
C0072402,Serine/Threonine Protein Kinase,gene_product_has_biochemical_function,['C0031727'],['Kinase'],Kinase,C0031727,1,1,1.0,0.4999999962500001
C1436224,Glutathione S-Transferase A1,gene_product_has_biochemical_function,['C0017837'],['Glutathione S-Transferase'],Glutathione S-Transferase,C0017837,1,1,1.0,0.7999999952000001
C1720949,Tumor Necrosis Factor Receptor Superfamily Member 10D,gene_product_has_biochemical_function,"['C0034800', 'C1332320', 'C1564881']","['Cell Surface Receptor', 'Apoptosis Inhibitor', 'Apoptosis Regulator']",Cell Surface Receptor || Apoptosis Inhibitor || Apoptosis Regulator,C0034800 || C1332320 || C1564881,3,3,0.0,0.06666666526666669
C2716282,"Actin, Aortic Smooth Muscle",gene_product_has_biochemical_function,['C1179132'],['Scaffolding Protein'],Scaffolding Protein,C1179132,1,1,0.0,0.0
C0082420,Endoglin,gene_product_has_biochemical_function,['C0034800'],['Cell Surface Receptor'],Cell Surface Receptor,C0034800,1,1,0.0,0.0
C4553379,Apolipoprotein(a),gene_product_has_biochemical_function,['C0023820'],['Lipoprotein'],Lipoprotein,C0023820,1,1,1.0,0.0
C5202949,Tyrosine-Protein Kinase TXK,gene_product_has_biochemical_function,['C0031727'],['Kinase'],Kinase,C0031727,1,1,1.0,0.4999999962500001
C4281710,Cadherin-2,gene_product_has_biochemical_function,['C0006732'],['Calcium Binding Protein'],Calcium Binding Protein,C0006732,1,1,0.0,0.0
C2348357,E3 Ubiquitin-Protein Ligase NEDD4,gene_product_has_biochemical_function,['C1621469'],['Ubiquitination Regulation Protein'],Ubiquitination Regulation Protein,C1621469,1,1,0.0,0.0
C1438953,Atypical Chemokine Receptor 4,gene_product_has_biochemical_function,"['C0034800', 'C0120465']","['Cell Surface Receptor', 'Guanine Nucleotide Exchange Factor']",Cell Surface Receptor || Guanine Nucleotide Exchange Factor,C0034800 || C0120465,2,2,0.0,0.1428571404081633
C3815883,Myosin-2,gene_product_has_biochemical_function,['C0001473'],['ATPase'],ATPase,C0001473,1,1,0.0,0.0
C3828496,PPBP Gene Product,gene_product_has_biochemical_function,['C1335962'],['Signaling Protein'],Signaling Protein,C1335962,1,1,0.0,0.0
C0919482,MAF Family Protein,gene_product_has_biochemical_function,['C0040648'],['Transcription Factor'],Transcription Factor,C0040648,1,1,0.0,0.0
C1672855,Apoptotic Protease-Activating Factor 1,gene_product_has_biochemical_function,"['C0815047', 'C1332322']","['Regulatory Protein', 'Apoptosis Promoter']",Regulatory Protein || Apoptosis Promoter,C0815047 || C1332322,2,2,0.0,0.0
C1317964,Intercellular Adhesion Molecule 2,gene_product_has_biochemical_function,"['C0017968', 'C0021699', 'C1334164']","['Glycoprotein', 'Transmembrane Protein', 'Immunoglobulin Family Protein']",Glycoprotein || Transmembrane Protein || Immunoglobulin Family Protein,C0017968 || C0021699 || C1334164,3,3,0.0,0.0
C1680604,E3 Ubiquitin-Protein Ligase BRE1A,gene_product_has_biochemical_function,['C1621469'],['Ubiquitination Regulation Protein'],Ubiquitination Regulation Protein,C1621469,1,1,0.0,0.0
C0214737,C-C Motif Chemokine 8,gene_product_has_biochemical_function,['C1335962'],['Signaling Protein'],Signaling Protein,C1335962,1,1,0.0,0.0
C4761439,Truncated Glioma-Associated Oncogene Homolog 1 Protein,gene_product_has_biochemical_function,['C0012940'],['DNA Binding Protein'],DNA Binding Protein,C0012940,1,1,0.0,0.22222221777777784
C4283870,Germinal Center-Associated Signaling and Motility Protein,gene_product_has_biochemical_function,['C0001239'],['Actin-Binding Protein'],Actin-Binding Protein,C0001239,1,1,0.0,0.24999999625000005
C3492898,E3 Ubiquitin-Protein Ligase ZNRF3,gene_product_has_biochemical_function,['C1621469'],['Ubiquitination Regulation Protein'],Ubiquitination Regulation Protein,C1621469,1,1,0.0,0.0
C1741275,Autoimmune Regulator,gene_product_has_biochemical_function,['C0012940'],['DNA Binding Protein'],DNA Binding Protein,C0012940,1,1,0.0,0.0
