head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1333649,G(i) Alpha,gene_product_has_biochemical_function,['C1333999'],['Heterotrimeric G Protein Subunit'],Heterotrimeric G Protein Subunit,C1333999,1,1,0.0,0.0
C1720949,Tumor Necrosis Factor Receptor Superfamily Member 10D,gene_product_has_biochemical_function,"['C0034800', 'C1332320', 'C1564881']","['Cell Surface Receptor', 'Apoptosis Inhibitor', 'Apoptosis Regulator']",Cell Surface Receptor || Apoptosis Inhibitor || Apoptosis Regulator,C0034800 || C1332320 || C1564881,3,3,0.0,0.06666666526666669
C2716282,"Actin, Aortic Smooth Muscle",gene_product_has_biochemical_function,['C1179132'],['Scaffolding Protein'],Scaffolding Protein,C1179132,1,1,0.0,0.0
C0082420,Endoglin,gene_product_has_biochemical_function,['C0034800'],['Cell Surface Receptor'],Cell Surface Receptor,C0034800,1,1,0.0,0.0
C4281710,Cadherin-2,gene_product_has_biochemical_function,['C0006732'],['Calcium Binding Protein'],Calcium Binding Protein,C0006732,1,1,0.0,0.0
C2348357,E3 Ubiquitin-Protein Ligase NEDD4,gene_product_has_biochemical_function,['C1621469'],['Ubiquitination Regulation Protein'],Ubiquitination Regulation Protein,C1621469,1,1,0.0,0.0
C3815883,Myosin-2,gene_product_has_biochemical_function,['C0001473'],['ATPase'],ATPase,C0001473,1,1,0.0,0.0
C3828496,PPBP Gene Product,gene_product_has_biochemical_function,['C1335962'],['Signaling Protein'],Signaling Protein,C1335962,1,1,0.0,0.0
C0919482,MAF Family Protein,gene_product_has_biochemical_function,['C0040648'],['Transcription Factor'],Transcription Factor,C0040648,1,1,0.0,0.0
C1672855,Apoptotic Protease-Activating Factor 1,gene_product_has_biochemical_function,"['C0815047', 'C1332322']","['Regulatory Protein', 'Apoptosis Promoter']",Regulatory Protein || Apoptosis Promoter,C0815047 || C1332322,2,2,0.0,0.0
C1317964,Intercellular Adhesion Molecule 2,gene_product_has_biochemical_function,"['C0017968', 'C0021699', 'C1334164']","['Glycoprotein', 'Transmembrane Protein', 'Immunoglobulin Family Protein']",Glycoprotein || Transmembrane Protein || Immunoglobulin Family Protein,C0017968 || C0021699 || C1334164,3,3,0.0,0.0
C1680604,E3 Ubiquitin-Protein Ligase BRE1A,gene_product_has_biochemical_function,['C1621469'],['Ubiquitination Regulation Protein'],Ubiquitination Regulation Protein,C1621469,1,1,0.0,0.0
C0214737,C-C Motif Chemokine 8,gene_product_has_biochemical_function,['C1335962'],['Signaling Protein'],Signaling Protein,C1335962,1,1,0.0,0.0
C3492898,E3 Ubiquitin-Protein Ligase ZNRF3,gene_product_has_biochemical_function,['C1621469'],['Ubiquitination Regulation Protein'],Ubiquitination Regulation Protein,C1621469,1,1,0.0,0.0
C1741275,Autoimmune Regulator,gene_product_has_biochemical_function,['C0012940'],['DNA Binding Protein'],DNA Binding Protein,C0012940,1,1,0.0,0.0
C1314904,E3 Ubiquitin-Protein Ligase TRIM23,gene_product_has_biochemical_function,"['C0018296', 'C1621469']","['GTPase', 'Ubiquitination Regulation Protein']",GTPase || Ubiquitination Regulation Protein,C0018296 || C1621469,2,2,0.0,0.0
C4723803,Gelsolin,gene_product_has_biochemical_function,['C0001239'],['Actin-Binding Protein'],Actin-Binding Protein,C0001239,1,1,0.0,0.0
C0962292,EMILIN-1,gene_product_has_biochemical_function,['C0017968'],['Glycoprotein'],Glycoprotein,C0017968,1,1,0.0,0.0
C2002111,Synaptojanin-1,gene_product_has_biochemical_function,['C0020289'],['Hydrolase'],Hydrolase,C0020289,1,1,0.0,0.0
C3810627,Long-Chain Fatty Acid Transport Protein 4,gene_product_has_biochemical_function,['C3897553'],['Solute Carrier Family'],Solute Carrier Family,C3897553,1,1,0.0,0.0
C4288045,VEGFA Gene Product,gene_product_has_biochemical_function,['C1256770'],['Vascular Endothelial Growth Factor Family'],Vascular Endothelial Growth Factor Family,C1256770,1,1,0.0,0.0
C3884535,Amphiregulin,gene_product_has_biochemical_function,['C0018284'],['Growth Factor'],Growth Factor,C0018284,1,1,0.0,0.0
C2713669,Plasma Serine Protease Inhibitor,gene_product_has_biochemical_function,['C0036764'],['Serpin'],Serpin,C0036764,1,1,0.0,0.0
