head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C3889122,5-Hydroxytryptamine Receptor 2C,gene_product_plays_role_in_biological_process,"['C0027793', 'C0037083', 'C0600431', 'C1157592', 'C1158419', 'C1514762', 'C1517377', 'C1517880', 'C1518289']","['Neuronal Transmission', 'Signal Transduction', 'Calcium Signaling', 'Nucleotide Biosynthesis Process', 'Phospholipid Metabolism', 'Receptor Signaling', 'G Protein-Coupled Receptor Signaling', 'Ligand Binding', 'Neurologic Process']",Neuronal Transmission || Signal Transduction || Calcium Signaling || Nucleotide Biosynthesis Process || Phospholipid Metabolism || Receptor Signaling || G Protein-Coupled Receptor Signaling || Ligand Binding || Neurologic Process,C0027793 || C0037083 || C0600431 || C1157592 || C1158419 || C1514762 || C1517377 || C1517880 || C1518289,9,9,0.0,0.07619047511292518
C3502613,Pachytene Checkpoint Protein 2 Homolog,gene_product_plays_role_in_biological_process,"['C0017001', 'C0020291', 'C1155792', 'C1158537']","['Gametogenesis', 'Hydrolysis', 'Meiotic Recombination', 'Double Strand Break Repair']",Gametogenesis || Hydrolysis || Meiotic Recombination || Double Strand Break Repair,C0017001 || C0020291 || C1155792 || C1158537,4,4,0.0,0.0
C4724755,Protocadherin Alpha-C2,gene_product_plays_role_in_biological_process,"['C0007577', 'C1516144', 'C1517880', 'C2987363']","['Cell Adhesion Process', 'Calcium Binding', 'Ligand Binding', 'Cell-Cell Adhesion Process']",Cell Adhesion Process || Calcium Binding || Ligand Binding || Cell-Cell Adhesion Process,C0007577 || C1516144 || C1517880 || C2987363,4,4,0.0,0.0
C0024375,Protein-Lysine 6-Oxidase,gene_product_plays_role_in_biological_process,"['C0026559', 'C0030011', 'C0030012', 'C0872079']","['Morphogenesis', 'Oxidation', 'Oxidation/Reduction', 'Protein-Protein Interaction']",Morphogenesis || Oxidation || Oxidation/Reduction || Protein-Protein Interaction,C0026559 || C0030011 || C0030012 || C0872079,4,4,0.0,0.0
C1434437,Leukosialin,gene_product_plays_role_in_biological_process,"['C0005778', 'C0008018', 'C0020964', 'C1516002', 'C1516326', 'C1517880', 'C1707327']","['Coagulation Process', 'Chemotactic Process', 'Immune Response Process', 'Antibacterial Response', 'Cell Adhesion Inhibition', 'Ligand Binding', 'Cell Defense Process']",Coagulation Process || Chemotactic Process || Immune Response Process || Antibacterial Response || Cell Adhesion Inhibition || Ligand Binding || Cell Defense Process,C0005778 || C0008018 || C0020964 || C1516002 || C1516326 || C1517880 || C1707327,7,7,0.0,0.0
C1741674,Slit Homolog 2 Protein,gene_product_plays_role_in_biological_process,"['C0302600', 'C0597358', 'C0598282', 'C0814002', 'C1516467']","['Angiogenic Process', 'Receptor Binding', 'Nervous System Development', 'Neural Development', 'Chemotaxis Inhibition']",Angiogenic Process || Receptor Binding || Nervous System Development || Neural Development || Chemotaxis Inhibition,C0302600 || C0597358 || C0598282 || C0814002 || C1516467,5,5,0.0,0.0
C1335555,Receptor-Type Tyrosine-Protein Phosphatase Gamma,gene_product_plays_role_in_biological_process,"['C0020291', 'C0037083', 'C1158884', 'C1514762', 'C3160734']","['Hydrolysis', 'Signal Transduction', 'Protein Dephosphorylation', 'Receptor Signaling', 'Dephosphorylation']",Hydrolysis || Signal Transduction || Protein Dephosphorylation || Receptor Signaling || Dephosphorylation,C0020291 || C0037083 || C1158884 || C1514762 || C3160734,5,5,0.0,0.0
C1741671,Gamma-Aminobutyric Acid Receptor Subunit Alpha-6,gene_product_plays_role_in_biological_process,"['C0027793', 'C1517596', 'C1517880', 'C1519624', 'C1519628']","['Neuronal Transmission', 'Ion Transport Process', 'Ligand Binding', 'Transmembrane Transport', 'Transport Process']",Neuronal Transmission || Ion Transport Process || Ligand Binding || Transmembrane Transport || Transport Process,C0027793 || C1517596 || C1517880 || C1519624 || C1519628,5,5,0.0,0.0
C2697911,Leucine-Rich Repeats and Immunoglobulin-Like Domains Protein 1,gene_product_plays_role_in_biological_process,['C0037083'],['Signal Transduction'],Signal Transduction,C0037083,1,1,0.0,0.0
C1530270,Interferon Regulatory Factor 1,gene_product_plays_role_in_biological_process,"['C0162493', 'C0162638', 'C1148673', 'C1158770']","['Transcriptional Activation', 'Apoptosis', 'DNA Binding', 'Transcriptional Regulation']",Transcriptional Activation || Apoptosis || DNA Binding || Transcriptional Regulation,C0162493 || C0162638 || C1148673 || C1158770,4,4,0.0,0.0
