head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C2828369,"prothrombin, human",has_physiologic_effect,['C2917275'],['Increased Coagulation Activity'],Increased Coagulation Activity,C2917275,1,1,0.0,0.0
C0015689,omega-3 fatty acids,has_physiologic_effect,"['C1371482', 'C1371695', 'C1372379', 'C3536796']","['Cellular Communication Alteration', 'Decreased Lipogenesis', 'Increased Lipolysis', 'Cell Membrane Alteration']",Cellular Communication Alteration || Decreased Lipogenesis || Increased Lipolysis || Cell Membrane Alteration,C1371482 || C1371695 || C1372379 || C3536796,4,4,0.0,0.0
C0982166,fomivirsen sodium,has_physiologic_effect,['C1371848'],['Decreased Protein Synthesis'],Decreased Protein Synthesis,C1371848,1,1,0.0,0.0
C0060180,fenoldopam,has_physiologic_effect,"['C1372267', 'C1372551', 'C1372857', 'C2917141']","['Increased Collecting Duct Water Permeability', 'Increased Renal Na+ Excretion', 'Renal Arterial Vasodilation', 'Decreased Blood Pressure']",Increased Collecting Duct Water Permeability || Increased Renal Na+ Excretion || Renal Arterial Vasodilation || Decreased Blood Pressure,C1372267 || C1372551 || C1372857 || C2917141,4,4,0.0,0.0
C0036025,Saccharomyces cerevisiae,has_physiologic_effect,"['C2267052', 'C3485987', 'C3536823']","['Increased Histamine Release', 'Increased IgG Production', 'Cell-mediated Immunity']",Increased Histamine Release || Increased IgG Production || Cell-mediated Immunity,C2267052 || C3485987 || C3536823,3,3,0.0,0.0
C0770578,"sodium phosphate, monobasic",has_physiologic_effect,"['C1371483', 'C1372370', 'C1372876']","['Cellular Activity Alteration', 'Increased Large Intestinal Motility', 'Small Intestine Fluid/Electrolyte Absorption Alteration']",Cellular Activity Alteration || Increased Large Intestinal Motility || Small Intestine Fluid/Electrolyte Absorption Alteration,C1371483 || C1372370 || C1372876,3,3,0.0,0.0
C0700556,phenmetrazine hydrochloride,has_physiologic_effect,"['C1372233', 'C1372246']","['Increased Cerebral Cortex Dopamine Activity', 'Increased Cerebral Cortex Norepinephrine Activity']",Increased Cerebral Cortex Dopamine Activity || Increased Cerebral Cortex Norepinephrine Activity,C1372233 || C1372246,2,2,0.0,0.0
C1611934,saxagliptin,has_physiologic_effect,"['C1371654', 'C1372360']","['Decreased Glucagon Secretion', 'Increased Insulin Secretion']",Decreased Glucagon Secretion || Increased Insulin Secretion,C1371654 || C1372360,2,2,0.0,0.0
C2983989,canagliflozin anhydrous,has_physiologic_effect,"['C1372554', 'C1372861']","['Increased Renal Organic Ion Excretion', 'Renal Ion Transport Alteration']",Increased Renal Organic Ion Excretion || Renal Ion Transport Alteration,C1372554 || C1372861,2,2,0.0,0.0
C3700999,sucralfate malate,has_physiologic_effect,['C1372059'],['Gastric Acid Alteration'],Gastric Acid Alteration,C1372059,1,1,0.0,0.0
C0076275,orlistat,has_physiologic_effect,['C1372720'],['Inhibition Fat Digestion'],Inhibition Fat Digestion,C1372720,1,1,0.0,0.0
C0521947,chlorhexidine diacetate,has_physiologic_effect,['C1371351'],['Decreased Cell Wall Integrity'],Decreased Cell Wall Integrity,C1371351,1,1,0.0,0.0
C0770232,"insulin, prompt zinc, beef",has_physiologic_effect,"['C1371661', 'C1371696', 'C1372343', 'C1372346', 'C1372378', 'C1372531']","['Decreased Glycogenolysis', 'Decreased Lipolysis', 'Increased Glucose Transport into Cells', 'Increased Glycogenesis', 'Increased Lipogenesis', 'Increased Protein Synthesis']",Decreased Glycogenolysis || Decreased Lipolysis || Increased Glucose Transport into Cells || Increased Glycogenesis || Increased Lipogenesis || Increased Protein Synthesis,C1371661 || C1371696 || C1372343 || C1372346 || C1372378 || C1372531,6,6,0.0,0.0
