head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0038745,sulfisoxazole,may_prevent,"['C0004623', 'C0026946', 'C0033740']","['Bacterial Infections', 'Mycoses', 'Protozoan Infections']",Bacterial Infections || Mycoses || Protozoan Infections,C0004623 || C0026946 || C0033740,3,3,0.0,0.0
C0304305,cyclizine lactate,may_prevent,"['C0026603', 'C0027497', 'C0042963']","['Motion Sickness', 'Nausea', 'Vomiting']",Motion Sickness || Nausea || Vomiting,C0026603 || C0027497 || C0042963,3,3,0.0,0.0
C0054635,caramiphen,may_prevent,['C0010200'],['Cough'],Cough,C0010200,1,1,0.0,0.0
C4507568,bictegravir,may_prevent,['C0019693'],['HIV Infections'],HIV Infections,C0019693,1,1,0.0,0.0
C0304455,dyclonine hydrochloride,may_prevent,['C0030193'],['Pain'],Pain,C0030193,1,1,0.0,0.0
C0065818,dolasetron mesylate,may_prevent,['C0520909'],['Postoperative Nausea and Vomiting'],Postoperative Nausea and Vomiting,C0520909,1,1,0.0,0.0
C0025746,methylene blue,may_prevent,['C0010520'],['Cyanosis'],Cyanosis,C0010520,1,1,0.0,0.0
C0005100,benzyl alcohol,may_prevent,['C0030756'],['Lice Infestations'],Lice Infestations,C0030756,1,1,0.0,0.0
C4522829,pitavastatin sodium,may_prevent,['C1956346'],['Coronary Artery Disease'],Coronary Artery Disease,C1956346,1,1,0.0,0.0
C3536841,Aminoglycoside Antibacterial,may_prevent,['C0004623'],['Bacterial Infections'],Bacterial Infections,C0004623,1,1,0.0,0.0
C2606637,elvitegravir,may_prevent,['C0019693'],['HIV Infections'],HIV Infections,C0019693,1,1,0.0,0.0
C3159361,human adenovirus E serotype 4 strain CL-68578,may_prevent,['C0001486'],['Adenoviridae Infections'],Adenoviridae Infections,C0001486,1,1,0.0,0.0
C0537670,oprelvekin,may_prevent,['C0040034'],['Thrombocytopenia'],Thrombocytopenia,C0040034,1,1,0.0,0.0
C0072980,sirolimus,may_prevent,['C0018133'],['Graft vs Host Disease'],Graft vs Host Disease,C0018133,1,1,0.0,0.0
C4490323,betrixaban maleate,may_prevent,['C1861172'],['Venous Thromboembolism'],Venous Thromboembolism,C1861172,1,1,0.0,0.0
C0700546,methylprednisolone sodium succinate,may_prevent,"['C0003868', 'C0003873', 'C0018133']","['Arthritis, Gouty', 'Arthritis, Rheumatoid', 'Graft vs Host Disease']","Arthritis, Gouty || Arthritis, Rheumatoid || Graft vs Host Disease",C0003868 || C0003873 || C0018133,3,3,0.0,0.0
C0304456,tetracaine hydrochloride,may_prevent,['C0030193'],['Pain'],Pain,C0030193,1,1,0.0,0.0
C2725003,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated",may_prevent,['C0043167'],['Whooping Cough'],Whooping Cough,C0043167,1,1,0.0,0.0
C0019435,hexachlorophene,may_prevent,"['C0009450', 'C0038166']","['Communicable Diseases', 'Staphylococcal Skin Infections']",Communicable Diseases || Staphylococcal Skin Infections,C0009450 || C0038166,2,2,0.0,0.0
