head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0077388,tropatepine,may_treat,['C0030567'],['Parkinson Disease'],Parkinson Disease,C0030567,1,1,0.0,0.0
C0066411,methylnaltrexone,may_treat,['C0009806'],['Constipation'],Constipation,C0009806,1,1,0.0,0.0
C4726693,rimegepant sulfate,may_treat,"['C0149931', 'C0154723', 'C0338480']","['Migraine Disorders', 'Migraine with Aura', 'Migraine without Aura']",Migraine Disorders || Migraine with Aura || Migraine without Aura,C0149931 || C0154723 || C0338480,3,3,0.0,0.0
C0247194,iloperidone,may_treat,"['C0036341', 'C0525046']","['Schizophrenia', 'Schizophrenia Spectrum and Other Psychotic Disorders']",Schizophrenia || Schizophrenia Spectrum and Other Psychotic Disorders,C0036341 || C0525046,2,2,0.0,0.0
C0016388,riboflavin 5'-phosphate,may_treat,['C0035528'],['Riboflavin Deficiency'],Riboflavin Deficiency,C0035528,1,1,0.0,0.4999999950000001
C4734566,Crotalidae immune F(ab')2,may_treat,['C0037379'],['Snake Bites'],Snake Bites,C0037379,1,1,0.0,0.0
C2917406,Polyene Antimicrobial,may_treat,"['C0004623', 'C0033740']","['Bacterial Infections', 'Protozoan Infections']",Bacterial Infections || Protozoan Infections,C0004623 || C0033740,2,2,0.0,0.0
C0543473,bisoprolol fumarate,may_treat,"['C0002962', 'C0018801', 'C0020538', 'C0027051', 'C0039240']","['Angina Pectoris', 'Heart Failure', 'Hypertension', 'Myocardial Infarction', 'Tachycardia, Supraventricular']","Angina Pectoris || Heart Failure || Hypertension || Myocardial Infarction || Tachycardia, Supraventricular",C0002962 || C0018801 || C0020538 || C0027051 || C0039240,5,5,0.0,0.0
C4745457,calaspargase pegol-mknl,may_treat,['C1961102'],['Precursor Cell Lymphoblastic Leukemia-Lymphoma'],Precursor Cell Lymphoblastic Leukemia-Lymphoma,C1961102,1,1,0.0,0.0
C0054120,bromodiphenhydramine,may_treat,"['C0003469', 'C0010200', 'C0021603', 'C0026603', 'C0027497', 'C0030567', 'C0035457', 'C0042109', 'C0042571', 'C0042963']","['Anxiety Disorders', 'Cough', 'Sleep Initiation and Maintenance Disorders', 'Motion Sickness', 'Nausea', 'Parkinson Disease', 'Rhinitis, Allergic, Perennial', 'Urticaria', 'Vertigo', 'Vomiting']","Anxiety Disorders || Cough || Sleep Initiation and Maintenance Disorders || Motion Sickness || Nausea || Parkinson Disease || Rhinitis, Allergic, Perennial || Urticaria || Vertigo || Vomiting",C0003469 || C0010200 || C0021603 || C0026603 || C0027497 || C0030567 || C0035457 || C0042109 || C0042571 || C0042963,10,10,0.0,0.0
C1869686,cefovecin,may_treat,['C0004623'],['Bacterial Infections'],Bacterial Infections,C0004623,1,1,0.0,0.0
C5221241,givosiran sodium,may_treat,['C0268328'],"['Porphyria, Acute Hepatic']","Porphyria, Acute Hepatic",C0268328,1,1,0.0,0.0
