head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C0393477,Post influenza vaccination encephalitis,occurs_after,['C0042200'],['Administration of influenza vaccine'],Administration of influenza vaccine,C0042200,1,1,0.0,0.24999999500000009
C1304311,Basal cell carcinoma recurrent following cryosurgery,occurs_after,['C0010408'],['Cryosurgery'],Cryosurgery,C0010408,1,1,1.0,0.2857142832653061
C1275030,Adverse effect from PUVA photochemotherapy,occurs_after,"['C0031765', 'C0034172']","['Light therapy', 'Photochemotherapy with psoralens and ultraviolet A']",Light therapy || Photochemotherapy with psoralens and ultraviolet A,C0031765 || C0034172,2,2,0.0,0.09090908842975212
C4708093,Allergy to pea,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0413108,Bite of unidentified snake with neurological signs,occurs_after,['C1302713'],['Animal bite'],Animal bite,C1302713,1,1,0.0,0.22222221876543213
C4707910,Allergy to hypothalamic hormone,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0176005,Late effect of accidental injury,occurs_after,['C3263723'],['Traumatic injury'],Traumatic injury,C3263723,1,1,0.0,0.2857142816326531
C1275044,Radiotherapy scar,occurs_after,"['C0184661', 'C1522449']","['Procedure', 'Radiation oncology AND/OR radiotherapy']",Procedure || Radiation oncology AND/OR radiotherapy,C0184661 || C1522449,2,2,0.0,0.16666666444444447
C0269899,Atonic postpartum hemorrhage,occurs_after,['C0011209'],['Delivery procedure'],Delivery procedure,C0011209,1,1,0.0,0.0
C0160784,Late effect of skin and subcutaneous tissue injury,occurs_after,"['C3263723', 'C3263723']","['Injury', 'Traumatic injury']",Injury || Traumatic injury,C3263723 || C3263723,2,2,0.0,0.21111110852345683
C1304262,Calcinosis following localized fat necrosis,occurs_after,['C0015668'],['Fat necrosis'],Fat necrosis,C0015668,1,1,1.0,0.5714285673469389
C4520254,Apraxia due to and following spontaneous intracerebral hemorrhage,occurs_after,['C3662030'],['Spontaneous cerebral hemorrhage'],Spontaneous cerebral hemorrhage,C3662030,1,1,0.0,0.3636363596694215
C0349765,Arteriovenous shunt stenosis,occurs_after,"['C0040732', 'C0525024', 'C0684204']","['Transplantation', 'Implantation of prosthetic device', 'Surgical construction of arteriovenous shunt']",Transplantation || Implantation of prosthetic device || Surgical construction of arteriovenous shunt,C0040732 || C0525024 || C0684204,3,3,0.0,0.1666666651041667
C0451903,"Post-traumatic gonarthrosis, bilateral",occurs_after,"['C0022744', 'C4751223']","['Injury of knee', 'Traumatic event']",Injury of knee || Traumatic event,C0022744 || C4751223,2,2,0.0,0.0
C0234944,Injection site anesthesia,occurs_after,"['C0184661', 'C1533685']","['Procedure', 'Injection']",Procedure || Injection,C0184661 || C1533685,2,2,0.0,0.24999999812500004
C1275024,Dermatosis resulting from colostomy,occurs_after,"['C0009410', 'C0184661']","['Colostomy', 'Procedure']",Colostomy || Procedure,C0009410 || C0184661,2,2,0.0,0.19999999840000002
C1275013,Hypermelanosis due to cryotherapy,occurs_after,['C0184661'],['Procedure'],Procedure,C0184661,1,1,0.0,0.0
C5191694,Transplant rejection of cornea of left eye,occurs_after,['C0010042'],['Corneal transplant'],Corneal transplant,C0010042,1,1,0.0,0.24999999625000005
C0570905,Allergy to alfuzosin,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0154985,Total traumatic cataract,occurs_after,"['C3263723', 'C4751223']","['Traumatic injury', 'Traumatic event']",Traumatic injury || Traumatic event,C3263723 || C4751223,2,2,0.0,0.39999999520000007
C1306068,After-cataract,occurs_after,"['C0007389', 'C1532282']","['Extraction of cataract', 'Implantation of phakic intraocular lens implant']",Extraction of cataract || Implantation of phakic intraocular lens implant,C0007389 || C1532282,2,2,0.0,0.0
C4076167,Chronic graft versus host disease after transplantation of bone marrow,occurs_after,"['C0005961', 'C1961139']","['Transplantation of bone marrow', 'Grafting procedure']",Transplantation of bone marrow || Grafting procedure,C0005961 || C1961139,2,2,0.0,0.28571428367346946
C1626925,Allergy to cosmetic material,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0729577,Post-immunization encephalitis,occurs_after,['C0020971'],['Active or passive immunization'],Active or passive immunization,C0020971,1,1,0.0,0.0
C0570687,Allergy to mitoxantrone,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0457627,Mechanical complication of bile duct prosthesis,occurs_after,"['C0525024', 'C0543467']","['Implantation of prosthetic device', 'Surgical procedure']",Implantation of prosthetic device || Surgical procedure,C0525024 || C0543467,2,2,0.0,0.09999999760000006
C0570739,Lithium allergy,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C2585749,Postoperative aspiration pneumonia,occurs_after,['C0543467'],['Surgical procedure'],Surgical procedure,C0543467,1,1,0.0,0.0
C0560606,Post-herpetic neuritis,occurs_after,['C0019360'],['Herpes zoster'],Herpes zoster,C0019360,1,1,0.0,0.0
C0343422,Late effects of genitourinary system tuberculosis,occurs_after,['C0041296'],['Tuberculosis'],Tuberculosis,C0041296,1,1,1.0,0.2857142832653061
C0273072,Intracranial haemorrhage following injury with open intracranial wound AND no loss of consciousness,occurs_after,"['C3263723', 'C4751223']","['Traumatic injury', 'Traumatic event']",Traumatic injury || Traumatic event,C3263723 || C4751223,2,2,0.0,0.07142857020408164
C0585144,Colostomy necrosis,occurs_after,"['C0029473', 'C0184661']","['Construction of stoma', 'Procedure']",Construction of stoma || Procedure,C0029473 || C0184661,2,2,0.0,0.0
C0473502,Cesarean wound disruption with postnatal complication,occurs_after,"['C0007876', 'C0038906']","['Cesarean section', 'Obstetric operation']",Cesarean section || Obstetric operation,C0007876 || C0038906,2,2,0.0,0.12499999812500003
C0152089,Post-laminectomy syndrome of unspecified site,occurs_after,['C0022983'],['Laminectomy'],Laminectomy,C0022983,1,1,1.0,0.0
C0571469,Allergy to cefoxitin,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0452091,Disorder due to and following fracture at wrist and/or hand level,occurs_after,"['C0003794', 'C0452088', 'C3263723']","['Injury of upper extremity', 'Fracture at wrist and/or hand level', 'Traumatic injury']",Injury of upper extremity || Fracture at wrist and/or hand level || Traumatic injury,C0003794 || C0452088 || C3263723,3,3,0.0,0.2352941161245675
