head_cui,head_name,rel,tail_cuis_list,tail_names_list,tail_names,tail_cuis,tail_cuis_len,tail_names_len,avg_match,avg_rouge_l
C1275030,Adverse effect from PUVA photochemotherapy,occurs_after,"['C0031765', 'C0034172']","['Light therapy', 'Photochemotherapy with psoralens and ultraviolet A']",Light therapy || Photochemotherapy with psoralens and ultraviolet A,C0031765 || C0034172,2,2,0.0,0.09090908842975212
C4708093,Allergy to pea,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C4707910,Allergy to hypothalamic hormone,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0269899,Atonic postpartum hemorrhage,occurs_after,['C0011209'],['Delivery procedure'],Delivery procedure,C0011209,1,1,0.0,0.0
C0451903,"Post-traumatic gonarthrosis, bilateral",occurs_after,"['C0022744', 'C4751223']","['Injury of knee', 'Traumatic event']",Injury of knee || Traumatic event,C0022744 || C4751223,2,2,0.0,0.0
C1275013,Hypermelanosis due to cryotherapy,occurs_after,['C0184661'],['Procedure'],Procedure,C0184661,1,1,0.0,0.0
C0570905,Allergy to alfuzosin,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C1306068,After-cataract,occurs_after,"['C0007389', 'C1532282']","['Extraction of cataract', 'Implantation of phakic intraocular lens implant']",Extraction of cataract || Implantation of phakic intraocular lens implant,C0007389 || C1532282,2,2,0.0,0.0
C1626925,Allergy to cosmetic material,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0729577,Post-immunization encephalitis,occurs_after,['C0020971'],['Active or passive immunization'],Active or passive immunization,C0020971,1,1,0.0,0.0
C0570687,Allergy to mitoxantrone,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0457627,Mechanical complication of bile duct prosthesis,occurs_after,"['C0525024', 'C0543467']","['Implantation of prosthetic device', 'Surgical procedure']",Implantation of prosthetic device || Surgical procedure,C0525024 || C0543467,2,2,0.0,0.09999999760000006
C0570739,Lithium allergy,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C2585749,Postoperative aspiration pneumonia,occurs_after,['C0543467'],['Surgical procedure'],Surgical procedure,C0543467,1,1,0.0,0.0
C0560606,Post-herpetic neuritis,occurs_after,['C0019360'],['Herpes zoster'],Herpes zoster,C0019360,1,1,0.0,0.0
C0273072,Intracranial haemorrhage following injury with open intracranial wound AND no loss of consciousness,occurs_after,"['C3263723', 'C4751223']","['Traumatic injury', 'Traumatic event']",Traumatic injury || Traumatic event,C3263723 || C4751223,2,2,0.0,0.07142857020408164
C0585144,Colostomy necrosis,occurs_after,"['C0029473', 'C0184661']","['Construction of stoma', 'Procedure']",Construction of stoma || Procedure,C0029473 || C0184661,2,2,0.0,0.0
C0571469,Allergy to cefoxitin,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0571921,Osmotic diuretic allergy,occurs_after,"['C3662483', 'C3662483']","['Allergic sensitization', 'Allergic sensitization']",Allergic sensitization,C3662483,1,1,0.0,0.0
C0570915,Allergy to nifedipine,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0570732,Allergy to carbidopa and levodopa,occurs_after,"['C3662483', 'C3662483']","['Allergic sensitization', 'Allergic sensitization']",Allergic sensitization,C3662483,1,1,0.0,0.0
C0571194,Antidotes for pesticides allergy,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0571033,Allergy to cetirizine,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C1318514,Disruption of cesarean wound in the puerperium,occurs_after,['C0038906'],['Obstetric operation'],Obstetric operation,C0038906,1,1,0.0,0.0
C0570681,Allergy to cytotoxic antibiotic,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0570880,Drug groups primarily affecting the autonomic nervous system allergy,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C1444193,Post-catheterization femoral pseudoaneurysm,occurs_after,['C0190891'],['Introduction of catheter into artery of extremity'],Introduction of catheter into artery of extremity,C0190891,1,1,0.0,0.0
C0275873,Syphilitic saddle nose,occurs_after,['C0039131'],['Congenital syphilis'],Congenital syphilis,C0039131,1,1,0.0,0.0
C0571870,Allergy to ciprofibrate,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C1456464,Post-phlebitic dermatosis of lower leg,occurs_after,['C0031542'],['Phlebitis'],Phlebitis,C0031542,1,1,0.0,0.0
C0406870,Extrinsic arterial compression of flap,occurs_after,"['C0040732', 'C0543467']","['Transplantation', 'Surgical procedure']",Transplantation || Surgical procedure,C0040732 || C0543467,2,2,0.0,0.0
C0473524,Postpancreatectomy hypoinsulinemia,occurs_after,['C0543467'],['Surgical procedure'],Surgical procedure,C0543467,1,1,0.0,0.0
C0570848,Allergy to phenothiazine,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0571762,Factor VIII fraction products allergy,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0038436,Posttraumatic stress disorder,occurs_after,['C4751223'],['Traumatic event'],Traumatic event,C4751223,1,1,0.0,0.0
C0571629,Allergy to protamine zinc insulin,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0436112,Late effects of other external causes,occurs_after,['C0012634'],['Disease'],Disease,C0012634,1,1,0.0,0.0
C0570955,Allergy to albuterol,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
C0274282,Phototherapy complication,occurs_after,['C0031765'],['Light therapy'],Light therapy,C0031765,1,1,0.0,0.0
C0571038,Allergy to oxatomide,occurs_after,"['C3662483', 'C3662483']","['Allergic sensitization', 'Allergic sensitization']",Allergic sensitization,C3662483,1,1,0.0,0.0
C0473819,Cerebral hemorrhage due to birth trauma,occurs_after,['C3263723'],['Traumatic injury'],Traumatic injury,C3263723,1,1,0.0,0.0
C0570623,Allergy to chenodeoxycholic acid,occurs_after,"['C3662483', 'C3662483', 'C3662483']","['Allergic sensitization', 'Allergic sensitization', 'Allergic sensitization']",Allergic sensitization,C3662483,1,1,0.0,0.0
C0016470,Allergy to food,occurs_after,"['C3662483', 'C3662483']","['Allergic sensitization', 'Allergic sensitization']",Allergic sensitization,C3662483,1,1,0.0,0.0
C0571878,Allergy to adenosine,occurs_after,['C3662483'],['Allergic sensitization'],Allergic sensitization,C3662483,1,1,0.0,0.0
